Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,01-Mar,PPA,CrsPA,PrgP,Matches
219,Mads Hermansen,dk DEN,GK,Leicester City,24-225,2000,17.5,24.6,39.3,62.6,637.6,472.6,6.17,6.29,98.2,11.1,11.6,95.6,7.37,21.2,34.8,0,0,0,0,0,0.69,0.06,0,0.06,Matches
220,Son Heung-min,kr KOR,FW,Tottenham,32-228,1992,18.6,31.6,39.6,79.6,444.7,114.4,19.7,21.8,90.4,8.71,10.8,80.6,1.67,3.28,50.8,0.38,0.35,0.23,0.03,2.2,1.56,2.26,0.27,4.68,Matches
221,James Hill,eng ENG,"DF,MF",Bournemouth,23-042,2002,2,27.5,46.5,59.1,509,232,10,13,76.9,14.5,20,72.5,3,11,27.3,0.5,0.1,0.1,0.4,1,4.5,2,0,4.5,Matches
222,Jack Hinshelwood,eng ENG,"MF,DF",Brighton,19-316,2005,10.8,44.3,53,83.6,673.9,162.2,25.5,27.6,92.3,14.3,16.8,85.1,3.24,6.2,52.2,0,0.03,0.06,-0.03,0.65,2.13,0.46,0,3.61,Matches
223,George Hirst,eng ENG,FW,Ipswich Town,26-006,1999,2.6,10.8,20,53.8,115.8,38.1,8.08,12.7,63.6,1.92,4.23,45.5,0,0.38,0,0.38,0.12,0.04,0.27,1.15,0,1.15,0,3.46,Matches
224,Mason Holgate,eng ENG,"FW,DF",Everton,28-122,1996,0.1,20,20,100,550,0,0,0,,10,10,100,10,10,100,0,0,0,0,0,0,0,0,0,Matches
225,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,24-106,2000,17.2,29.7,35.9,82.7,418.3,85.9,18.7,20.2,92.8,7.91,9.71,81.4,1.74,3.55,49.2,0.12,0.12,0.12,0,1.98,1.28,1.1,0.35,2.85,Matches
226,Will Hughes,eng ENG,MF,Crystal Palace,29-310,1995,16.6,33.4,43.4,76.9,538.3,182.4,16.4,18.5,88.9,13.7,16.6,82.9,2.11,5.54,38,0.18,0.11,0.11,0.07,1.51,3.67,0.72,0.18,4.22,Matches
227,Dean Huijsen,es ESP,DF,Bournemouth,19-313,2005,14.8,47,56.2,83.5,957.1,376.1,14.6,16.4,88.9,25.7,28.5,90.3,6.28,10.1,62,0,0.05,0.05,-0.05,0.74,5.68,0.14,0,4.32,Matches
228,Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,21-114,2003,21.7,22,28.5,77.2,337.8,58.2,11.3,12.9,87.8,9.12,11,82.8,1.06,1.98,53.5,0.09,0.11,0.07,-0.01,0.92,1.57,0.69,0.32,2.44,Matches
229,Rasmus Hojlund,dk DEN,FW,Manchester Utd,22-017,2003,13.3,11.7,15.2,76.7,122.6,23.3,8.42,10.2,83,1.65,2.48,66.7,0.23,0.23,100,0,0.08,0.05,-0.08,0.83,0.6,0.23,0,0.98,Matches
230,Igor,br BRA,DF,Brighton,27-014,1998,10,62.8,68.2,92.1,1135.8,372.3,24.8,25.7,96.5,33.7,35.4,95.2,4,5.6,71.4,0,0.02,0.03,-0.02,0.1,3.5,0.2,0.1,4.4,Matches
231,Danny Ings,eng ENG,"FW,MF",West Ham,32-213,1992,3.1,19.4,28.7,67.4,252.6,40,12.9,15.5,83.3,5.48,8.71,63,0.32,1.61,20,0.65,0.42,0.03,0.23,1.94,0.97,0.32,0,1.61,Matches
232,Tim Iroegbunam,eng ENG,MF,Everton,21-236,2003,4.6,18.3,26.1,70,308.3,115.7,8.04,11.5,69.8,6.96,8.7,80,2.39,3.48,68.8,0.22,0.04,0.02,0.17,0.65,1.96,0.22,0,2.39,Matches
233,Andy Irving,sct SCO,MF,West Ham,24-284,2000,1.8,58.9,67.2,87.6,934.4,236.7,32.2,33.9,95.1,20,23.9,83.7,5,5,100,0,0.11,0.06,-0.11,0.56,7.78,0.56,0.56,5,Matches
234,Alexander Isak,se SWE,FW,Newcastle Utd,25-153,1999,21,17,23.1,73.8,238.4,57,10.3,12.5,82.5,4.95,6.43,77,0.86,1.38,62.1,0.24,0.18,0.15,0.06,1.67,1.33,0.81,0,2.81,Matches
235,Alex Iwobi,ng NGA,"FW,MF",Fulham,28-294,1996,23.4,35,46.4,75.5,597.4,181.9,18.2,20.9,87.5,12.9,16.8,76.8,3.25,5.56,58.5,0.13,0.21,0.23,-0.09,1.97,3.5,2.65,0.47,6.62,Matches
236,Nicolas Jackson,sn SEN,FW,Chelsea,23-246,2001,19.3,12,16,75,156.5,35.8,7.41,9.07,81.7,3.37,4.4,76.5,0.31,0.57,54.5,0.26,0.21,0.09,0.05,1.3,0.88,0.31,0.05,1.4,Matches
237,Reece James,eng ENG,DF,Chelsea,25-075,1999,5.7,69.6,82.8,84.1,1234.7,438.1,33,34.7,94.9,30.2,34.6,87.3,5.79,11.6,50,0,0.05,0.11,-0.05,1.23,8.6,0.7,0.18,5.96,Matches
238,Vitaly Janelt,de GER,MF,Brentford,26-287,1998,19.9,34.7,42.2,82.4,590.9,175.5,17,18.8,90.1,14.4,16.7,86.2,2.61,4.92,53.1,0.15,0.11,0.11,0.04,0.65,3.07,0.95,0.35,3.17,Matches
239,Vitezslav Jaros,cz CZE,GK,Liverpool,23-213,2001,0.1,60,80,75,3020,2730,0,0,,10,10,100,50,70,71.4,0,0,0,0,0,20,0,0,0,Matches
240,Daniel Jebbison,eng ENG,"FW,MF",Bournemouth,21-192,2003,0.7,30,35.7,84,277.1,37.1,20,22.9,87.5,1.43,1.43,100,0,0,,0,0.29,0.14,-0.29,4.29,1.43,1.43,0,2.86,Matches
241,Mathias Jensen,dk DEN,MF,Brentford,29-051,1996,8,36.5,49,74.5,670.3,244.1,16.9,19.6,86,14.3,18.1,78.6,4.5,8.38,53.7,0.13,0.19,0.14,-0.06,1.75,4.25,1.88,0.25,6.25,Matches
242,Gabriel Jesus,br BRA,FW,Arsenal,27-324,1997,6.8,22.9,29.9,76.8,298.5,55.6,15.1,18.8,80.5,6.03,6.91,87.2,0.59,0.88,66.7,0,0.1,0.07,-0.1,1.18,1.47,1.32,0.15,2.79,Matches
243,Raul Jimenez,mx MEX,FW,Fulham,33-292,1991,17.7,16.6,23.6,70.5,251.5,57.2,9.6,11.5,83.3,4.8,6.61,72.6,1.3,2.2,59,0.17,0.15,0.1,0.02,0.79,1.19,0.45,0.17,1.98,Matches
244,Kim Jisoo,kr KOR,DF,Brentford,20-059,2004,0.3,80,90,88.9,1713.3,543.3,26.7,30,88.9,36.7,40,91.7,16.7,20,83.3,0,0,0,0,0,3.33,0,0,6.67,Matches
245,Joao Pedro,br BRA,"FW,MF",Brighton,23-148,2001,15.1,22.7,30.7,74.1,318.7,82.4,14.2,18.1,78.4,6.29,8.41,74.8,1.26,1.92,65.5,0.33,0.17,0.15,0.16,1.26,2.05,1.52,0.2,3.44,Matches
246,Joelinton,br BRA,"MF,FW",Newcastle Utd,28-191,1996,21.3,32.8,39.4,83.2,458.6,130.8,20.5,23.3,87.9,10.3,11.8,87.6,1.03,1.97,52.4,0.05,0.08,0.08,-0.03,0.89,3.24,0.56,0.05,4.6,Matches
247,Ben Johnson,eng ENG,"DF,FW",Ipswich Town,25-028,2000,10.2,22.2,29.6,74.8,339.7,142.5,13.1,14.9,88.2,7.45,9.31,80,1.27,2.84,44.8,0.1,0.06,0.04,0.04,0.59,1.37,0.1,0.1,1.67,Matches
248,Brennan Johnson,wls WAL,FW,Tottenham,23-274,2001,16.9,19.1,26.9,70.9,249.8,69.3,11.6,14.3,81,6.09,8.17,74.6,0.41,1.07,38.9,0.12,0.08,0.08,0.04,0.83,1.3,1.42,0.24,3.02,Matches
249,Sam Johnstone,eng ENG,GK,Wolves,31-333,1993,7,26.3,39.7,66.2,792.6,610,4.43,4.57,96.9,11.4,11.7,97.6,10.3,22.9,45,0,0,0,0,0.14,0.86,0,0,0,Matches
250,Curtis Jones,eng ENG,MF,Liverpool,24-022,2001,11.6,49.2,52.4,93.9,712.2,140.9,28.3,29,97.6,18.3,19.4,94.2,1.47,2.07,70.8,0.26,0.03,0.07,0.22,1.03,3.28,1.03,0,5.43,Matches
251,Jorginho,it ITA,MF,Arsenal,33-063,1991,5.3,50.6,58.9,85.9,795.8,187,26.2,29.4,89.1,20.9,23.2,90.2,2.45,4.34,56.5,0,0.08,0.09,-0.08,0.57,4.91,1.51,0,6.04,Matches
252,Diogo Jota,pt POR,FW,Liverpool,28-079,1996,8.4,17.6,25,70.5,256,62.3,9.29,12,77.2,6.07,7.62,79.7,0.95,1.79,53.3,0.36,0.19,0.13,0.17,0.95,2.02,0.24,0.12,2.38,Matches
253,James Justin,eng ENG,DF,Leicester City,26-364,1998,22.4,36.7,47.2,77.9,556.2,177.5,19.8,22.9,86.7,14.6,17.4,83.8,1.34,4.24,31.6,0.04,0.02,0.02,0.02,0.45,2.41,0.54,0.22,2.59,Matches
254,Filip Jorgensen,dk DEN,GK,Chelsea,22-311,2002,4,27.5,31.8,86.6,479.8,274,10.5,10.5,100,14.5,15,96.7,1.5,5.25,28.6,0,0,0,0,0,0.25,0,0,0,Matches
255,Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,25-137,1999,4.3,33.5,40.7,82.3,551.6,162.3,17,19.1,89,14.2,17.2,82.4,2.09,3.26,64.3,0,0.05,0.07,-0.05,1.16,2.33,2.09,0.93,3.49,Matches
256,Daichi Kamada,jp JPN,MF,Crystal Palace,28-200,1996,10.4,35.3,44.5,79.3,578.6,157.6,18.7,21.2,88.2,13.9,17.1,81.5,2.12,3.65,57.9,0,0.11,0.1,-0.11,1.44,3.56,0.96,0.19,5.48,Matches
257,Boubacar Kamara,fr FRA,"MF,DF",Aston Villa,25-090,1999,11.7,47.4,52.6,90.1,743.8,224.7,23.8,25.3,93.9,20.9,22.6,92.5,1.79,3.16,56.8,0,0.03,0.03,-0.03,0.51,4.87,0.6,0,4.87,Matches
258,Michael Kayode,it ITA,DF,Brentford,20-226,2004,0.2,40,80,50,930,330,0,20,0,30,50,60,10,10,100,0,1,0.5,-1,10,0,5,5,0,Matches
259,Michael Keane,eng ENG,DF,Everton,32-041,1993,9,28.1,34.3,81.9,648,207.2,8.22,9.22,89.2,13.2,14.7,90.2,6.44,8.56,75.3,0,0.01,0,-0.01,0.22,1.89,0,0,1.33,Matches
260,Caoimhin Kelleher,ie IRL,GK,Liverpool,26-090,1998,8,27.6,37,74.7,593.6,361,10,10,100,13.6,13.6,100,4,13.3,30.2,0,0,0,0,0,0.63,0,0,0,Matches
261,Lloyd Kelly,eng ENG,DF,Newcastle Utd,26-138,1998,3.4,42.9,53.2,80.7,775.3,255,16.8,19.1,87.7,22.9,25.6,89.7,2.94,7.06,41.7,0.29,0.15,0.03,0.15,0.59,1.76,0.29,0.29,2.65,Matches
262,Milos Kerkez,hu HUN,DF,Bournemouth,21-106,2003,24.2,34.6,45,76.9,551,189.3,18.7,20.9,89.5,12.9,16.2,79.6,2.19,5.41,40.5,0.12,0.12,0.07,0,0.95,2.4,1.03,0.62,4.59,Matches
263,Bilal El Khannouss,ma MAR,MF,Leicester City,20-287,2004,13.2,33.7,44.8,75.3,597.7,156.4,16.1,18.6,86.9,12.4,15.5,80,4.39,7.42,59.2,0.08,0.14,0.11,-0.07,1.44,4.02,1.21,0.3,5,Matches
264,Abdukodir Khusanov,uz UZB,DF,Manchester City,20-358,2004,1.6,65,71.9,90.4,1097.5,401.9,30.6,32.5,94.2,31.9,33.1,96.2,1.88,5,37.5,0,0,0,0,0,0.63,0,0,3.75,Matches
265,Max Kilman,eng ENG,DF,West Ham,27-274,1997,24.2,44,51.4,85.7,868.8,310.2,14,15.3,91.1,25.2,27.5,91.7,4.55,7.73,58.8,0.04,0.04,0.03,0,0.5,3.31,0.08,0,3.72,Matches
266,Joshua King,eng ENG,"MF,FW",Fulham,18-049,2007,0.9,35.6,41.1,86.5,530,102.2,20,22.2,90,14.4,16.7,86.7,0,1.11,0,0,0.44,0.78,-0.44,3.33,2.22,1.11,0,4.44,Matches
267,Antonin Kinsky,cz CZE,GK,Tottenham,21-345,2003,4,29,36.3,80,674.8,421.5,4.25,4.25,100,18.3,19,96.1,5.75,12,47.9,0,0.03,0,-0.03,0.25,0.5,0,0,0.25,Matches
268,Jakub Kiwior,pl POL,DF,Arsenal,25-006,2000,3.6,40.8,48.6,84,728.6,220,15.8,17.5,90.5,22.2,24.4,90.9,2.5,5.28,47.4,0,0.03,0,-0.03,0.28,2.22,0,0,2.22,Matches
269,Justin Kluivert,nl NED,"MF,FW",Bournemouth,25-292,1999,17.8,19.6,27.2,71.9,301.5,81.1,10.9,13.5,80.8,6.63,8.99,73.8,1.46,2.58,56.5,0.28,0.19,0.11,0.1,1.74,1.57,0.96,0.17,3.88,Matches
270,Ibrahima Konaté,fr FRA,DF,Liverpool,25-272,1999,18,60.7,67.5,89.9,1094.8,390.2,22.3,23.8,93.5,35.3,37.3,94.6,2.61,5.39,48.5,0.11,0.05,0.04,0.06,0.5,5.39,0.44,0,4.28,Matches
271,Ezri Konsa,eng ENG,DF,Aston Villa,27-121,1997,21.1,47.4,51.6,91.8,797.3,250.9,20.2,21.1,95.7,24.8,26,95.4,1.75,2.84,61.7,0,0.01,0.02,-0.01,0.14,3.36,0.05,0,2.65,Matches
272,Mateo Kovacic,hr CRO,MF,Manchester City,30-291,1994,17.2,71.3,76.5,93.3,1095.5,287.4,38.8,40.7,95.3,29.1,30.5,95.4,2.56,3.55,72.1,0.06,0.2,0.15,-0.14,1.51,7.73,1.16,0,6.4,Matches
273,Caleb Kporha,eng ENG,DF,Crystal Palace,18-221,2006,0.1,50,70,71.4,720,210,40,40,100,0,20,0,10,10,100,0,0,0,0,0,0,10,10,0,Matches
274,Emil Krafth,se SWE,DF,Newcastle Utd,30-203,1994,2.7,22.6,28.1,80.3,391.1,179.6,10,12.6,79.4,11.1,12.6,88.2,1.48,2.22,66.7,0,0.04,0,-0.04,0.37,1.11,0,0,0.37,Matches
275,Mohammed Kudus,gh GHA,"MF,FW",West Ham,24-203,2000,18.4,24.9,29.8,83.8,413,66.5,13.2,14.8,88.6,9.08,9.95,91.3,2.17,3.04,71.4,0.05,0.11,0.1,-0.05,1.03,1.63,1.09,0.54,2.99,Matches
276,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,24-302,2000,22.7,25.5,34.8,73.1,356.8,114.4,15.6,18.1,85.9,7.58,9.87,76.8,1.32,3.26,40.5,0.18,0.26,0.17,-0.08,2.64,2.47,2.2,0.26,4.93,Matches
277,Maxence Lacroix,fr FRA,DF,Crystal Palace,24-321,2000,21.9,37.4,45.8,81.8,779.3,312.7,9.86,11.5,86.1,23,25.4,90.5,4.38,7.85,55.8,0.05,0.02,0.03,0.03,0.18,2.65,0.09,0.05,2.24,Matches
278,Adam Lallana,eng ENG,MF,Southampton,36-287,1988,3.8,56.1,65,86.2,732.9,240,37.4,41.6,89.9,15.3,16.6,92.1,1.05,2.11,50,0.53,0.24,0.13,0.29,1.05,5.26,2.37,0.79,6.05,Matches
279,Tariq Lamptey,gh GHA,DF,Brighton,24-144,2000,6.8,37.8,45.3,83.4,582.2,137.6,20.9,22.2,94,14.4,17.6,81.7,2.06,4.26,48.3,0.29,0.06,0.06,0.24,0.59,1.62,0.74,0.59,1.47,Matches
280,Will Lankshear,eng ENG,"FW,MF",Tottenham,19-307,2005,0.1,0,10,0,0,0,0,10,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
281,Romeo Lavia,be BEL,MF,Chelsea,21-046,2004,5.9,44.2,48.3,91.6,741.7,199.8,21.5,23.9,90.1,19.8,20.7,95.9,2.37,2.88,82.4,0.17,0.12,0.05,0.05,1.02,5.25,0.51,0,2.88,Matches
282,Mario Lemina,ga GAB,"MF,DF",Wolves,31-173,1993,15.2,32.4,40.3,80.4,623.6,195.1,11.6,13.6,85,16.4,18.7,87.7,3.82,6.25,61.1,0.2,0.07,0.08,0.13,0.66,2.83,0.86,0.26,3.16,Matches
283,Bernd Leno,de GER,GK,Fulham,32-354,1992,25,30.6,37.5,81.6,739.7,424.7,5.6,5.64,99.3,18.8,18.9,99.2,5.88,12.5,47.1,0.04,0,0,0.04,0.08,0.36,0.08,0,0,Matches
284,Jefferson Lerma,co COL,MF,Crystal Palace,30-119,1994,14.9,35,46.2,75.8,606.5,214.1,16.5,18.8,87.9,14.7,18.3,80.2,3.09,6.64,46.5,0,0.09,0.09,-0.09,0.47,4.09,0.87,0.07,4.77,Matches
285,Rico Lewis,eng ENG,"DF,MF",Manchester City,20-092,2004,16.6,54,58.6,92.2,771.9,142.7,33.2,35,94.8,18.6,19.7,94.2,1.51,2.11,71.4,0.12,0.02,0.05,0.1,0.42,4.46,0.78,0,5.18,Matches
286,Keane Lewis-Potter,eng ENG,"DF,FW",Brentford,23-365,2001,22.3,27.1,34.4,78.9,442.6,119.5,15.1,16.7,90.3,9.06,11.4,79.5,2.38,4.3,55.2,0.09,0.08,0.15,0.01,0.72,1.66,1.39,0.45,2.96,Matches
287,Myles Lewis-Skelly,eng ENG,DF,Arsenal,18-148,2006,7,47,51.6,91.1,683.1,163,28.3,29.7,95.2,16.4,18.3,89.8,1.29,1.57,81.8,0,0.01,0.03,-0.01,0.43,5.14,0.43,0,4.43,Matches
288,Matthijs de Ligt,nl NED,DF,Manchester Utd,25-193,1999,18.2,55.5,61.3,90.7,977.3,253.8,19.6,20.7,94.4,33.4,35.2,94.9,2.31,4.45,51.9,0,0.02,0.02,-0.02,0.27,2.8,0.11,0.05,2.31,Matches
289,Pedro Lima,br BRA,DF,Wolves,18-235,2006,0.7,30,41.4,72.4,540,217.1,12.9,17.1,75,12.9,15.7,81.8,4.29,7.14,60,0,0.14,0.14,-0.14,2.86,1.43,4.29,2.86,4.29,Matches
290,Victor Lindelof,se SWE,"DF,MF",Manchester Utd,30-219,1994,0.7,50,54.3,92.1,762.9,244.3,22.9,27.1,84.2,24.3,24.3,100,1.43,1.43,100,0,0,0,0,1.43,5.71,2.86,1.43,7.14,Matches
291,Jesper Lindstrom,dk DEN,FW,Everton,24-358,2000,11.4,21.5,31.5,68.2,339.6,99.5,13.9,16,86.8,4.82,7.63,63.2,2.28,5.18,44.1,0,0.17,0.17,-0.17,1.49,1.05,0.96,0.61,1.67,Matches
292,Valentino Livramento,eng ENG,DF,Newcastle Utd,22-101,2002,18.8,44.3,52.6,84.1,648.4,226.7,26,28.9,89.9,16.2,19,85.4,1.38,2.71,51,0,0.04,0.03,-0.04,0.53,2.98,0.9,0.21,4.52,Matches
293,Sean Longstaff,eng ENG,MF,Newcastle Utd,27-114,1997,8.2,32.7,38.7,84.5,488.5,131.8,18,20.6,87.6,12.2,13.2,92.6,1.71,2.56,66.7,0,0.02,0.02,-0.02,0.49,2.93,0.12,0,4.63,Matches
294,Sasa Lukic,rs SRB,MF,Fulham,28-192,1996,17.6,44.5,50.4,88.4,747,186.3,21.8,23.4,93,18.6,20.2,92.4,3.52,5,70.5,0.11,0.14,0.06,-0.03,1.08,4.09,0.57,0.23,3.75,Matches
295,Joe Lumley,eng ENG,GK,Southampton,30-006,1995,3,35.3,50.3,70.2,780.7,492,14,14.7,95.5,14,15.3,91.3,7,19.7,35.6,0,0,0,0,0,0.67,0,0,0,Matches
296,Massimo Luongo,au AUS,MF,Ipswich Town,32-149,1992,2,19.5,26.5,73.6,275.5,67.5,12,13.5,88.9,5.5,8,68.8,1,3,33.3,0,0,0,0,0,0.5,0,0,2.5,Matches
297,Ian Maatsen,nl NED,DF,Aston Villa,22-348,2002,5.7,54.2,67.2,80.7,864,246.5,27.5,31.6,87.2,23,27.2,84.5,2.46,4.21,58.3,0.18,0.28,0.28,-0.11,2.81,2.46,2.28,0.35,4.91,Matches
298,Alexis Mac Allister,ar ARG,MF,Liverpool,26-059,1998,21,46,54,85.2,730,198.1,23.8,26.4,90.1,17.8,19.8,89.7,3.1,4.57,67.7,0.14,0.17,0.19,-0.02,1.52,4.43,1.33,0.05,6.43,Matches
299,James Maddison,eng ENG,MF,Tottenham,28-090,1996,15.1,51.3,63.4,80.9,829.4,254.5,25.2,27.9,90.3,20.9,24.3,85.8,3.51,7.95,44.2,0.26,0.19,0.32,0.08,1.79,5.76,1.92,0.33,8.28,Matches
300,Noni Madueke,eng ENG,FW,Chelsea,22-348,2002,16.1,23.6,30.2,78.2,343.7,85,15,17.1,87.3,6.58,8.7,75.7,1.18,1.99,59.4,0.19,0.22,0.16,-0.04,1.55,0.62,1.8,0.37,3.29,Matches
301,Gabriel Magalhaes,br BRA,DF,Arsenal,27-064,1997,22.1,55.7,62.1,89.7,972.3,296.5,23,23.8,96.6,28.8,30.5,94.2,3.39,6.24,54.3,0.05,0.04,0.05,0.01,0.54,5.75,0.36,0,4.48,Matches
302,Edmond-Paris Maghoma,eng ENG,MF,Brentford,23-289,2001,0.9,51.1,55.6,92,814.4,211.1,27.8,28.9,96.2,16.7,17.8,93.8,4.44,5.56,80,0,0,0,0,0,2.22,0,0,8.89,Matches
303,Harry Maguire,eng ENG,DF,Manchester Utd,31-353,1993,13.1,50.8,58.9,86.3,931.9,323.4,19.6,21.6,90.8,26.6,29.2,91.1,3.89,6.64,58.6,0,0.02,0.02,-0.02,0.46,2.82,0.23,0,2.98,Matches
304,Kobbie Mainoo,eng ENG,MF,Manchester Utd,19-308,2005,14.3,40.6,47,86.3,540.8,137.5,25.9,28.3,91.8,10.1,11.5,88.4,1.82,2.45,74.3,0,0.1,0.08,-0.1,0.91,3.08,0.63,0,3.64,Matches
305,Tyrell Malacia,nl NED,DF,Manchester Utd,25-188,1999,1.1,44.5,50,89.1,583.6,236.4,28.2,30,93.9,11.8,12.7,92.9,1.82,1.82,100,0,0,0,0,0.91,6.36,0.91,0,2.73,Matches
306,Donyell Malen,nl NED,FW,Aston Villa,26-043,1999,1.7,16.5,22.9,71.8,200,38.2,11.8,14.1,83.3,3.53,5.29,66.7,0.59,0.59,100,0,0,0,0,0.59,0.59,0.59,0,1.76,Matches
307,Orel Mangala,be BEL,MF,Everton,26-340,1998,14,31.2,35,89.2,499.9,111.9,15.6,17.3,90.5,13.4,14.1,94.9,1.64,2.14,76.7,0,0.04,0.04,-0.04,0.57,3.57,0.57,0.07,2.43,Matches
308,Ryan Manning,ie IRL,DF,Southampton,28-252,1996,8.5,38.2,47.6,80.2,643.9,174.6,18.6,20,92.9,16,18.8,85,2.82,5.76,49,0,0.2,0.2,-0.2,2,0.82,0.71,0.71,0.94,Matches
309,Solly March,eng ENG,"MF,DF",Brighton,30-216,1994,0.3,23.3,50,46.7,346.7,156.7,13.3,16.7,80,10,23.3,42.9,0,10,0,0,0,0,0,0,0,0,0,0,Matches
310,Omar Marmoush,eg EGY,"FW,MF",Manchester City,26-014,1999,2.4,20.4,25.4,80.3,325.8,111.7,12.5,14.6,85.7,5.42,6.25,86.7,2.08,3.33,62.5,0,0.21,0.25,-0.21,1.67,1.67,2.08,0.42,3.33,Matches
311,Gabriel Martinelli,br BRA,"FW,MF",Arsenal,23-248,2001,16.2,19,27.3,69.5,272.7,58,12.3,15.3,80.6,5.25,7.84,66.9,0.93,1.79,51.7,0.19,0.18,0.2,0.01,1.54,0.37,1.17,0.49,1.73,Matches
312,Emiliano Martinez,ar ARG,GK,Aston Villa,32-172,1992,25.5,30.7,37.7,81.3,790.8,467.7,5.49,5.65,97.2,17.8,18.1,98.7,7.33,13.8,53.3,0,0,0,0,0,0.51,0,0,0.08,Matches
313,Lisandro Martinez,ar ARG,DF,Manchester Utd,27-034,1998,19.5,61.5,68.8,89.4,1040.6,361.8,26.8,28.4,94.2,30.8,33.1,93,3.28,5.95,55.2,0.05,0.06,0.07,-0.01,0.46,4.67,0.92,0.1,6,Matches
314,Pape Matar Sarr,sn SEN,MF,Tottenham,22-160,2002,14.2,47.3,54.3,87.2,736.9,176.6,25.1,27.6,90.8,18.2,20.1,90.6,2.61,3.31,78.7,0.14,0.1,0.04,0.04,0.77,5,0.56,0.14,4.79,Matches
315,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,27-238,1997,21.7,9.86,15.3,64.7,129.7,33,6.04,7.97,75.7,3,4.65,64.4,0.14,0.69,20,0.05,0.11,0.1,-0.06,1.06,1.11,0.46,0,1.66,Matches
316,Stephy Mavididi,eng ENG,FW,Leicester City,26-266,1998,14.5,25.1,33.4,75.1,343.7,85.5,15.1,16.6,90.9,7.1,10.4,68.2,1.03,2.34,44.1,0.07,0.17,0.21,-0.1,1.24,1.86,1.52,0.34,3.59,Matches
317,Konstantinos Mavropanos,gr GRE,DF,West Ham,27-072,1997,16.6,46.4,54.4,85.3,920.1,319.2,14.8,16.3,90.7,26.7,29.3,91.2,4.58,7.53,60.8,0,0.03,0.02,-0.03,0.24,2.89,0.24,0.06,2.95,Matches
318,Noussair Mazraoui,ma MAR,DF,Manchester Utd,27-099,1997,21.4,49.9,58.6,85.2,741.4,262.3,28.1,30.8,91.2,18.5,20.7,89.2,2.01,3.83,52.4,0.05,0.04,0.07,0.01,0.51,4.25,0.56,0.19,3.79,Matches
319,Bryan Mbeumo,cm CMR,FW,Brentford,25-198,1999,24.9,23.5,35,67,372,112.1,12.9,16.1,80.3,8.59,11.7,73.3,1.57,4.58,34.2,0.12,0.25,0.23,-0.13,1.93,1.41,1.69,0.44,3.94,Matches
320,James Mcatee,eng ENG,"MF,FW",Manchester City,22-126,2002,1.2,36.7,43.3,84.6,615,107.5,17.5,21.7,80.8,17.5,19.2,91.3,1.67,2.5,66.7,0,0,0,0,0,2.5,0,0,2.5,Matches
321,Kasey McAteer,ie IRL,"FW,MF",Leicester City,23-091,2001,4.3,21.2,30.5,69.5,298.8,71.6,14,16.5,84.5,5.81,8.14,71.4,0.93,1.86,50,0.23,0.09,0.05,0.14,1.16,1.4,0.7,0.23,1.86,Matches
322,Alex McCarthy,eng ENG,GK,Southampton,35-080,1989,5,23.4,31.2,75,564.6,397,8.2,8.6,95.3,9,9.8,91.8,6,12.2,49.2,0,0,0,0,0,1,0,0,0,Matches
323,John McGinn,sct SCO,"MF,FW",Aston Villa,30-126,1994,17.1,27.8,33.6,82.8,463.3,123,13.2,14.5,90.7,11.5,13.6,84.5,2.46,3.92,62.7,0.18,0.15,0.12,0.02,1.35,2.81,1.4,0.41,4.27,Matches
324,Dwight McNeil,eng ENG,"MF,FW",Everton,25-091,1999,12.7,29.7,40.5,73.3,564.4,194,13.4,15.5,86.3,10.6,13.1,81.3,5.04,9.37,53.8,0.24,0.28,0.31,-0.04,2.52,2.6,2.52,0.79,4.72,Matches
325,Scott McTominay,sct SCO,MF,Manchester Utd,28-075,1996,0.2,50,50,100,930,495,25,25,100,15,15,100,10,10,100,0,0,0,0,0,10,0,0,5,Matches
326,Ben Mee,eng ENG,DF,Brentford,35-153,1989,2,46.5,60,77.5,875.5,344,17,19,89.5,25.5,30,85,4,10,40,0,0,0,0,0,5,0,0,5.5,Matches
327,Jayden Meghoma,eng ENG,DF,Brentford,18-238,2006,0.1,30,30,100,280,70,30,30,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
328,Mikel Merino,es ESP,MF,Arsenal,28-244,1996,8.8,32.4,41.6,77.9,446.4,132.2,20.7,23.5,87.9,9.55,12.4,77.1,1.02,2.16,47.4,0.11,0.1,0.08,0.01,0.91,2.61,1.7,0.23,4.77,Matches
329,Nikola Milenkovic,rs SRB,DF,Nott'ham Forest,27-132,1997,24,22.5,27.3,82.5,449.5,166.9,7.13,8.21,86.8,12.3,14,87.8,2.79,4.17,67,0.04,0.01,0.01,0.03,0.21,1.58,0.08,0,1.63,Matches
