Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,01-Mar,PPA,CrsPA,PrgP,Matches
48,Rodrigo Bentancur,uy URU,MF,Tottenham,27-241,1997,10.5,56.1,62.8,89.4,899.5,226.7,28.2,30.5,92.5,23.8,25.4,93.6,2.76,3.71,74.4,0,0.04,0.07,-0.04,0.76,6.29,0.67,0.1,6.19,Matches
49,Sander Berge,no NOR,MF,Fulham,27-007,1998,14.6,44.3,49,90.4,798.8,201.2,17.6,19.7,89.5,21.5,22.9,93.7,4.38,5,87.7,0,0.04,0.03,-0.04,1.03,4.86,0.14,0,4.73,Matches
50,Lucas Bergvall,se SWE,MF,Tottenham,19-019,2006,7.4,56.1,62.4,89.8,924.9,177,27.4,29.7,92.3,23,24.6,93.4,4.32,5.54,78,0,0.05,0.07,-0.05,0.81,4.59,0.68,0.27,4.32,Matches
51,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-067,2002,21.5,40.2,51.6,77.9,654.6,240.4,20.1,22.5,89.4,16.7,20.7,80.6,2.7,6.28,43,0.05,0.06,0.07,-0.01,0.79,2.88,0.98,0.74,2.56,Matches
52,Beto,gw GNB,FW,Everton,27-021,1998,6.5,9.69,16.8,57.8,136.3,16.2,6.31,9.08,69.5,2.46,5.08,48.5,0.77,0.77,100,0,0.03,0.02,-0.03,0.62,0.62,0.15,0,0.77,Matches
53,Philip Billing,dk DEN,MF,Bournemouth,28-255,1996,2,35,51,68.6,511,199.5,21.5,25.5,84.3,9.5,13.5,70.4,2,7.5,26.7,0,0.5,0.5,-0.5,4,4.5,3.5,1,7.5,Matches
54,Yves Bissouma,ml MLI,MF,Tottenham,28-175,1996,11.7,49.8,55.8,89.3,766.1,209.6,26.9,28.9,93.2,18.5,19.7,93.9,2.56,4.27,60,0,0.02,0.05,-0.02,0.43,4.36,0.85,0.09,5.64,Matches
55,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-047,2004,3.9,44.1,50.8,86.9,661.8,213.8,26.2,28.2,92.7,16.9,18.5,91.7,0.77,2.31,33.3,0,0.03,0.03,-0.03,0.51,5.38,0.26,0,2.82,Matches
56,Willy Boly,ci CIV,DF,Nott'ham Forest,34-018,1991,1.5,32,40.7,78.7,610,282.7,10.7,11.3,94.1,18,19.3,93.1,2.67,9.33,28.6,0,0,0,0,0,1.33,0,0,1.33,Matches
57,Sven Botman,nl NED,DF,Newcastle Utd,25-040,2000,2.5,45.2,51.2,88.3,763.6,306.8,21.6,25.6,84.4,20,20.4,98,2.4,3.6,66.7,0,0,0,0,0,2.4,0,0,1.2,Matches
58,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-063,1996,20.4,18.1,25.9,69.9,296.9,92.9,9.75,11.9,82.2,6.08,7.94,76.5,1.72,3.63,47.3,0.2,0.23,0.24,-0.03,1.96,1.47,1.47,0.15,3.24,Matches
59,Conor Bradley,nir NIR,DF,Liverpool,21-227,2003,4.1,58.3,69.3,84.2,880,224.9,33.7,36.3,92.6,22,24.6,89.1,1.71,5.37,31.8,0,0,0.07,0,0,2.93,0.49,0.24,4.15,Matches
60,Jarrad Branthwaite,eng ENG,DF,Everton,22-239,2002,16.1,33.9,41.7,81.4,655.2,263.2,13.2,15,88.4,16.5,18.1,90.8,3.98,7.52,52.9,0.06,0.04,0.01,0.02,0.12,3.17,0.12,0,2.42,Matches
61,James Bree,eng ENG,DF,Southampton,27-133,1997,8.4,44,53.2,82.8,705,195,20.6,22.9,90.1,20,22.7,88,2.5,5,50,0.12,0.11,0.06,0.01,1.19,2.5,0.48,0.36,3.1,Matches
62,Ben Brereton,cl CHI,FW,Southampton,25-309,1999,5,25.6,33.2,77.1,367.2,76.6,16.6,19,87.4,7.2,10.6,67.9,1.4,2.2,63.6,0,0.02,0.02,-0.02,0.6,1.8,0.4,0.2,1.8,Matches
63,Nathan Broadhead,wls WAL,"FW,MF",Ipswich Town,26-322,1998,4.2,22.9,29.3,78,335,79.5,13.8,15.5,89.2,8.1,10.2,79.1,0.48,1.9,25,0,0.12,0.21,-0.12,1.19,2.38,0.95,0,2.38,Matches
64,Armando Broja,al ALB,FW,Everton,23-164,2001,1.8,15,18.9,79.4,185.6,47.2,10,11.7,85.7,3.89,4.44,87.5,0.56,1.11,50,0,0.06,0.06,-0.06,1.11,1.11,0,0,1.11,Matches
65,David Brooks,wls WAL,FW,Bournemouth,27-228,1997,7.1,24.2,33.9,71.4,356.9,102.5,13.9,16.5,84.6,8.59,11.7,73.5,1.13,2.96,38.1,0,0.23,0.2,-0.23,1.69,0.99,1.55,0.7,1.97,Matches
66,Emi Buendia,ar ARG,"MF,FW",Aston Villa,28-058,1996,1.1,44.5,54.5,81.7,567.3,150.9,30,32.7,91.7,10.9,12.7,85.7,0.91,4.55,20,0,0,0,0,0.91,3.64,0.91,0,6.36,Matches
67,Santiago Bueno,uy URU,DF,Wolves,26-104,1998,15.2,39.8,45.7,87.1,728.6,225.9,14.4,15.6,92.4,21.6,23.4,92.7,3.03,5.26,57.5,0,0,0.01,0,0,1.32,0.07,0,1.51,Matches
68,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-060,2004,12.8,26.1,34.3,76.1,427.8,109.8,14,16.5,84.8,8.91,10.9,81.4,2.42,4.53,53.4,0.16,0.22,0.16,-0.06,1.72,2.42,0.86,0.08,3.2,Matches
69,Cameron Burgess,au AUS,DF,Ipswich Town,29-123,1995,10,39.7,49.6,80,699.7,328.4,17.2,19.1,90.1,18.2,21.3,85.4,3.7,7.8,47.4,0.1,0.03,0.02,0.07,0.3,3,0.2,0,2.7,Matches
