Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
69,Cameron Burgess,au AUS,DF,Ipswich Town,29-123,1995,10,10,900,10,0,0.1,0.1,0,0,0,0,0,0.07,0.07,0.03,0.1,0.2,2.7,0.3,0,0.1,0.1,0,0.1,0.07,0.03,0.1,0.07,0.1,Matches
70,Dan Burn,eng ENG,DF,Newcastle Utd,32-288,1992,24,24,2160,24,0,0,0,0,0,0,0.29,0,0.05,0.05,0.01,0.05,0.13,1.63,0.25,0,0,0,0,0,0.05,0.01,0.05,0.05,0.05,Matches
71,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-090,1994,18,12,926,10.3,0,0.1,0.1,0,0,0,0.1,0,0.05,0.05,0.16,0.21,3.69,0.78,6.31,0,0.1,0.1,0,0.1,0.05,0.16,0.21,0.05,0.21,Matches
72,Moises Caicedo,ec ECU,MF,Chelsea,23-111,2001,25,25,2189,24.3,0.04,0.08,0.12,0.04,0,0,0.29,0,0.02,0.02,0.09,0.12,1.11,5.31,1.11,0.04,0.08,0.12,0.04,0.12,0.02,0.09,0.12,0.02,0.12,Matches
73,Tom Cairney,sct SCO,MF,Fulham,34-032,1991,17,2,397,4.4,0.23,0,0.23,0.23,0,0,0.45,0.23,0.02,0.02,0.16,0.18,2.73,9.77,4.55,0.23,0,0.23,0.23,0.23,0.03,0.16,0.19,0.03,0.19,Matches
74,Jens Cajuste,se SWE,MF,Ipswich Town,25-195,1999,18,15,1121,12.5,0,0,0,0,0,0,0.16,0,0.01,0.01,0.02,0.03,1.28,2.4,0.64,0,0,0,0,0,0.01,0.02,0.04,0.01,0.04,Matches
75,Riccardo Calafiori,it ITA,DF,Arsenal,22-278,2002,14,8,768,8.5,0.24,0.12,0.35,0.24,0,0,0.35,0,0.08,0.08,0.02,0.11,1.53,4.59,2.59,0.23,0.12,0.35,0.23,0.35,0.08,0.03,0.11,0.08,0.11,Matches
76,Dominic Calvert-Lewin,eng ENG,FW,Everton,27-342,1997,22,19,1574,17.5,0.17,0.06,0.23,0.17,0,0,0.11,0,0.35,0.35,0.03,0.38,1.26,1.09,6,0.17,0.06,0.23,0.17,0.23,0.35,0.04,0.39,0.35,0.39,Matches
77,Diego Carlos,br BRA,DF,Aston Villa,31-343,1993,10,8,830,9.2,0,0,0,0,0,0,0.11,0,0.07,0.07,0,0.07,0.33,3.7,0,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches
78,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-175,2002,18,3,436,4.8,0.21,0.21,0.42,0.21,0,0,0.21,0,0.5,0.5,0.1,0.63,1.88,3.54,4.58,0.21,0.21,0.41,0.21,0.41,0.5,0.11,0.61,0.5,0.61,Matches
79,Casemiro,br BRA,MF,Manchester Utd,32-364,1992,15,11,926,10.3,0.1,0,0.1,0.1,0,0,0.19,0,0.13,0.13,0.21,0.34,0.29,4.85,2.14,0.1,0,0.1,0.1,0.1,0.13,0.21,0.34,0.13,0.34,Matches
80,Kaelan Casey,eng ENG,DF,West Ham,20-116,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
81,Matty Cash,pl POL,DF,Aston Villa,27-198,1997,17,15,1282,14.2,0.07,0.07,0.14,0.07,0,0,0.35,0,0.01,0.01,0.07,0.09,2.39,2.04,3.31,0.07,0.07,0.14,0.07,0.14,0.02,0.07,0.09,0.02,0.09,Matches
82,Timothy Castagne,be BEL,DF,Fulham,29-078,1995,15,10,993,11,0,0.09,0.09,0,0,0,0.09,0,0.01,0.01,0.1,0.11,1.18,3.64,3.64,0,0.09,0.09,0,0.09,0.01,0.1,0.11,0.01,0.11,Matches
83,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-231,1999,12,12,1060,11.8,0.25,0,0.25,0.25,0,0,0.08,0,0.1,0.1,0.03,0.14,0.93,2.88,0.51,0.25,0,0.25,0.25,0.25,0.1,0.03,0.14,0.1,0.14,Matches
84,Trevoh Chalobah,eng ENG,DF,Chelsea,25-231,1999,4,3,271,3,0,0.33,0.33,0,0,0,0,0,0.07,0.07,0.37,0.43,0.67,4,0,0,0.33,0.33,0,0.33,0.07,0.37,0.45,0.07,0.45,Matches
