Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
215,Jan Paul van Hecke,nl NED,DF,Brighton,24-258,2000,23,22,1970,21.9,0,0.05,0.05,0,0,0,0.18,0,0.04,0.04,0.05,0.08,1.78,7.67,0.23,0,0.05,0.05,0,0.05,0.03,0.04,0.08,0.03,0.08,Matches
216,Hwang Hee-chan,kr KOR,"MF,FW",Wolves,29-026,1996,17,5,620,6.9,0.29,0,0.29,0.29,0,0,0,0,0.12,0.12,0.01,0.13,2.03,1.59,5.51,0.29,0,0.29,0.29,0.29,0.12,0.02,0.13,0.12,0.13,Matches
217,Dean Henderson,eng ENG,GK,Crystal Palace,27-346,1997,25,25,2250,25,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
218,Rico Henry,eng ENG,DF,Brentford,27-228,1997,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
219,Mads Hermansen,dk DEN,GK,Leicester City,24-225,2000,18,18,1575,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,Matches
220,Son Heung-min,kr KOR,FW,Tottenham,32-228,1992,22,20,1671,18.6,0.32,0.38,0.7,0.32,0,0.05,0.05,0,0.28,0.24,0.35,0.59,3.82,4.68,11.2,0.32,0.38,0.7,0.32,0.7,0.28,0.35,0.63,0.24,0.59,Matches
221,James Hill,eng ENG,"DF,MF",Bournemouth,23-042,2002,5,3,179,2,0,0.5,0.5,0,0,0,0,0,0,0,0.1,0.15,0,4.5,2.5,0,0.5,0.5,0,0.5,0,0.13,0.13,0,0.13,Matches
222,Jack Hinshelwood,eng ENG,"MF,DF",Brighton,19-316,2005,13,12,974,10.8,0.09,0,0.09,0.09,0,0,0.28,0,0.07,0.07,0.03,0.1,0.93,3.61,2.59,0.09,0,0.09,0.09,0.09,0.07,0.03,0.1,0.07,0.1,Matches
223,George Hirst,eng ENG,FW,Ipswich Town,26-006,1999,13,1,230,2.6,0.38,0.38,0.77,0.38,0,0,0.38,0,0.38,0.38,0.12,0.46,1.15,3.46,6.54,0.39,0.39,0.78,0.39,0.78,0.38,0.1,0.48,0.38,0.48,Matches
224,Mason Holgate,eng ENG,"FW,DF",Everton,28-122,1996,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
225,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,24-106,2000,21,18,1548,17.2,0.17,0.12,0.29,0.17,0,0,0.06,0,0.12,0.12,0.12,0.23,5.52,2.85,8.14,0.17,0.12,0.29,0.17,0.29,0.12,0.12,0.23,0.12,0.23,Matches
226,Will Hughes,eng ENG,MF,Crystal Palace,29-310,1995,22,17,1495,16.6,0,0.18,0.18,0,0,0,0.48,0,0.05,0.05,0.11,0.16,1.02,4.22,1.45,0,0.18,0.18,0,0.18,0.05,0.11,0.16,0.05,0.16,Matches
227,Dean Huijsen,es ESP,DF,Bournemouth,19-313,2005,19,14,1334,14.8,0.14,0,0.14,0.14,0,0,0.34,0,0.1,0.1,0.05,0.16,1.55,4.32,0.2,0.13,0,0.13,0.13,0.13,0.1,0.06,0.16,0.1,0.16,Matches
228,Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,21-114,2003,23,23,1954,21.7,0.09,0.09,0.18,0.09,0,0,0.23,0,0.08,0.08,0.11,0.18,2.76,2.44,4.88,0.09,0.09,0.18,0.09,0.18,0.08,0.11,0.19,0.08,0.19,Matches
229,Rasmus Hojlund,dk DEN,FW,Manchester Utd,22-017,2003,20,14,1200,13.3,0.15,0,0.15,0.15,0,0,0.08,0,0.19,0.19,0.08,0.27,1.43,0.98,4.59,0.15,0,0.15,0.15,0.15,0.19,0.08,0.27,0.19,0.27,Matches
230,Igor,br BRA,DF,Brighton,27-014,1998,12,9,903,10,0,0,0,0,0,0,0.4,0,0,0,0.02,0.02,0.9,4.4,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
231,Danny Ings,eng ENG,"FW,MF",West Ham,32-213,1992,14,1,277,3.1,0.32,0.65,0.97,0.32,0,0,0,0,0.74,0.74,0.42,1.13,1.94,1.61,8.39,0.32,0.65,0.97,0.32,0.97,0.74,0.42,1.15,0.74,1.15,Matches
232,Tim Iroegbunam,eng ENG,MF,Everton,21-236,2003,9,4,411,4.6,0,0.22,0.22,0,0,0,0.43,0,0.04,0.04,0.04,0.09,1.09,2.39,1.96,0,0.22,0.22,0,0.22,0.05,0.04,0.09,0.05,0.09,Matches
233,Andy Irving,sct SCO,MF,West Ham,24-284,2000,9,1,165,1.8,0,0,0,0,0,0,1.11,0,0.06,0.06,0.11,0.22,0,5,2.22,0,0,0,0,0,0.07,0.13,0.19,0.07,0.19,Matches
234,Alexander Isak,se SWE,FW,Newcastle Utd,25-153,1999,23,23,1888,21,0.81,0.24,1.05,0.76,0.05,0.05,0.05,0,0.68,0.64,0.18,0.82,2.95,2.81,6.95,0.81,0.24,1.05,0.76,1,0.68,0.18,0.86,0.64,0.82,Matches
235,Alex Iwobi,ng NGA,"FW,MF",Fulham,28-294,1996,25,25,2105,23.4,0.3,0.13,0.43,0.3,0,0,0.04,0,0.15,0.15,0.21,0.37,4.49,6.62,7.39,0.3,0.13,0.43,0.3,0.43,0.15,0.21,0.37,0.15,0.37,Matches
236,Nicolas Jackson,sn SEN,FW,Chelsea,23-246,2001,23,22,1736,19.3,0.47,0.26,0.73,0.47,0,0,0.26,0,0.59,0.59,0.21,0.8,2.12,1.4,4.87,0.47,0.26,0.73,0.47,0.73,0.59,0.21,0.8,0.59,0.8,Matches
237,Reece James,eng ENG,DF,Chelsea,25-075,1999,9,6,510,5.7,0.18,0,0.18,0.18,0,0,0.18,0,0.02,0.02,0.05,0.07,0.7,5.96,0.88,0.18,0,0.18,0.18,0.18,0.02,0.05,0.07,0.02,0.07,Matches
238,Vitaly Janelt,de GER,MF,Brentford,26-287,1998,24,21,1792,19.9,0.05,0.15,0.2,0.05,0,0,0.15,0,0.03,0.03,0.11,0.14,0.55,3.17,1.51,0.05,0.15,0.2,0.05,0.2,0.03,0.11,0.14,0.03,0.14,Matches
239,Vitezslav Jaros,cz CZE,GK,Liverpool,23-213,2001,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
240,Daniel Jebbison,eng ENG,"FW,MF",Bournemouth,21-192,2003,7,0,62,0.7,0,0,0,0,0,0,1.43,0,0.29,0.29,0.29,0.57,2.86,2.86,11.4,0,0,0,0,0,0.3,0.29,0.59,0.3,0.59,Matches
241,Mathias Jensen,dk DEN,MF,Brentford,29-051,1996,15,8,720,8,0,0.13,0.13,0,0,0,0.13,0,0.03,0.03,0.19,0.21,0.75,6.25,3,0,0.12,0.12,0,0.12,0.03,0.18,0.21,0.03,0.21,Matches
242,Gabriel Jesus,br BRA,FW,Arsenal,27-324,1997,17,6,608,6.8,0.44,0,0.44,0.44,0,0,0.59,0,0.44,0.44,0.1,0.54,2.21,2.79,8.38,0.44,0,0.44,0.44,0.44,0.44,0.1,0.54,0.44,0.54,Matches
243,Raul Jimenez,mx MEX,FW,Fulham,33-292,1991,25,20,1597,17.7,0.51,0.17,0.68,0.34,0.17,0.17,0.17,0,0.51,0.38,0.15,0.54,1.41,1.98,4.92,0.51,0.17,0.68,0.34,0.51,0.51,0.15,0.67,0.38,0.53,Matches
244,Kim Jisoo,kr KOR,DF,Brentford,20-059,2004,2,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,Matches
245,Joao Pedro,br BRA,"FW,MF",Brighton,23-148,2001,19,16,1358,15.1,0.33,0.33,0.66,0.26,0.07,0.07,0.2,0,0.28,0.23,0.17,0.41,3.38,3.44,6.29,0.33,0.33,0.66,0.27,0.6,0.29,0.17,0.46,0.23,0.41,Matches
246,Joelinton,br BRA,"MF,FW",Newcastle Utd,28-191,1996,23,23,1914,21.3,0.19,0.05,0.23,0.19,0,0,0.42,0,0.17,0.17,0.08,0.24,1.55,4.6,4.51,0.19,0.05,0.24,0.19,0.24,0.17,0.07,0.25,0.17,0.25,Matches
247,Ben Johnson,eng ENG,"DF,FW",Ipswich Town,25-028,2000,15,9,918,10.2,0,0.1,0.1,0,0,0,0.2,0,0.04,0.04,0.06,0.1,0.98,1.67,1.86,0,0.1,0.1,0,0.1,0.04,0.06,0.1,0.04,0.1,Matches
248,Brennan Johnson,wls WAL,FW,Tottenham,23-274,2001,22,16,1519,16.9,0.41,0.12,0.53,0.41,0,0,0.18,0,0.47,0.47,0.08,0.55,2.84,3.02,9.11,0.41,0.12,0.53,0.41,0.53,0.47,0.08,0.55,0.47,0.55,Matches
249,Sam Johnstone,eng ENG,GK,Wolves,31-333,1993,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
250,Curtis Jones,eng ENG,MF,Liverpool,24-022,2001,21,11,1045,11.6,0.26,0.26,0.52,0.26,0,0,0.26,0.09,0.3,0.3,0.03,0.34,1.12,5.43,4.31,0.26,0.26,0.52,0.26,0.52,0.3,0.04,0.33,0.3,0.33,Matches
251,Jorginho,it ITA,MF,Arsenal,33-063,1991,11,6,474,5.3,0,0,0,0,0,0,0.75,0,0,0,0.08,0.09,1.51,6.04,0.38,0,0,0,0,0,0.01,0.08,0.09,0.01,0.09,Matches
252,Diogo Jota,pt POR,FW,Liverpool,28-079,1996,16,9,760,8.4,0.6,0.36,0.95,0.6,0,0,0.12,0,0.73,0.73,0.19,0.92,3.45,2.38,7.14,0.59,0.36,0.95,0.59,0.95,0.72,0.19,0.92,0.72,0.92,Matches
253,James Justin,eng ENG,DF,Leicester City,26-364,1998,24,24,2019,22.4,0.09,0.04,0.13,0.09,0,0,0.13,0,0.06,0.06,0.02,0.08,1.43,2.59,2.86,0.09,0.04,0.13,0.09,0.13,0.06,0.02,0.08,0.06,0.08,Matches
254,Filip Jorgensen,dk DEN,GK,Chelsea,22-311,2002,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
255,Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,25-137,1999,6,5,385,4.3,0.23,0,0.23,0.23,0,0,0.23,0,0.09,0.09,0.05,0.14,0.23,3.49,6.28,0.23,0,0.23,0.23,0.23,0.1,0.04,0.14,0.1,0.14,Matches
256,Daichi Kamada,jp JPN,MF,Crystal Palace,28-200,1996,21,10,938,10.4,0,0,0,0,0,0,0.19,0.1,0.07,0.07,0.11,0.17,1.54,5.48,3.75,0,0,0,0,0,0.07,0.11,0.17,0.07,0.17,Matches
257,Boubacar Kamara,fr FRA,"MF,DF",Aston Villa,25-090,1999,16,13,1051,11.7,0,0,0,0,0,0,0.17,0,0.03,0.03,0.03,0.04,0.94,4.87,0.26,0,0,0,0,0,0.02,0.02,0.05,0.02,0.05,Matches
258,Michael Kayode,it ITA,DF,Brentford,20-226,2004,2,0,16,0.2,0,0,0,0,0,0,0,0,0,0,1,1,5,0,15,0,0,0,0,0,0,0.84,0.84,0,0.84,Matches
259,Michael Keane,eng ENG,DF,Everton,32-041,1993,10,9,813,9,0.22,0,0.22,0.22,0,0,0.44,0,0.04,0.04,0.01,0.06,0.11,1.33,0.33,0.22,0,0.22,0.22,0.22,0.05,0.01,0.06,0.05,0.06,Matches
260,Caoimhin Kelleher,ie IRL,GK,Liverpool,26-090,1998,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
261,Lloyd Kelly,eng ENG,DF,Newcastle Utd,26-138,1998,10,4,303,3.4,0,0.29,0.29,0,0,0,0.59,0,0.12,0.12,0.15,0.26,0,2.65,1.47,0,0.3,0.3,0,0.3,0.12,0.14,0.26,0.12,0.26,Matches
262,Milos Kerkez,hu HUN,DF,Bournemouth,21-106,2003,25,25,2177,24.2,0.08,0.12,0.21,0.08,0,0,0.12,0,0.02,0.02,0.12,0.14,2.56,4.59,4.92,0.08,0.12,0.21,0.08,0.21,0.02,0.12,0.14,0.02,0.14,Matches
263,Bilal El Khannouss,ma MAR,MF,Leicester City,20-287,2004,20,15,1185,13.2,0.15,0.08,0.23,0.15,0,0,0.15,0,0.04,0.04,0.14,0.18,2.42,5,3.11,0.15,0.08,0.23,0.15,0.23,0.04,0.14,0.18,0.04,0.18,Matches
264,Abdukodir Khusanov,uz UZB,DF,Manchester City,20-358,2004,2,2,143,1.6,0,0,0,0,0,0,0.63,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
265,Max Kilman,eng ENG,DF,West Ham,27-274,1997,25,25,2178,24.2,0,0.04,0.04,0,0,0,0.12,0,0.06,0.06,0.04,0.1,0.87,3.72,0.12,0,0.04,0.04,0,0.04,0.06,0.04,0.1,0.06,0.1,Matches
266,Joshua King,eng ENG,"MF,FW",Fulham,18-049,2007,5,1,80,0.9,0,0,0,0,0,0,0,0,0.22,0.22,0.44,0.67,1.11,4.44,10,0,0,0,0,0,0.22,0.48,0.7,0.22,0.7,Matches
267,Antonin Kinsky,cz CZE,GK,Tottenham,21-345,2003,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.25,0.25,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
268,Jakub Kiwior,pl POL,DF,Arsenal,25-006,2000,8,2,327,3.6,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.28,2.22,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
269,Justin Kluivert,nl NED,"MF,FW",Bournemouth,25-292,1999,24,20,1606,17.8,0.62,0.28,0.9,0.28,0.34,0.34,0.34,0,0.49,0.23,0.19,0.42,2.75,3.88,6.07,0.62,0.28,0.9,0.28,0.56,0.49,0.19,0.68,0.23,0.42,Matches
270,Ibrahima Konaté,fr FRA,DF,Liverpool,25-272,1999,20,19,1624,18,0.06,0.11,0.17,0.06,0,0,0.28,0,0.06,0.06,0.05,0.11,0.89,4.28,0.11,0.06,0.11,0.17,0.06,0.17,0.06,0.05,0.1,0.06,0.1,Matches
271,Ezri Konsa,eng ENG,DF,Aston Villa,27-121,1997,22,22,1901,21.1,0.05,0,0.05,0.05,0,0,0,0,0.03,0.03,0.01,0.04,0.66,2.65,0.52,0.05,0,0.05,0.05,0.05,0.03,0.01,0.04,0.03,0.04,Matches
272,Mateo Kovacic,hr CRO,MF,Manchester City,30-291,1994,21,18,1549,17.2,0.23,0.06,0.29,0.23,0,0,0.29,0,0.08,0.08,0.2,0.28,2.5,6.4,0.81,0.23,0.06,0.29,0.23,0.29,0.08,0.2,0.28,0.08,0.28,Matches
273,Caleb Kporha,eng ENG,DF,Crystal Palace,18-221,2006,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,Matches
274,Emil Krafth,se SWE,DF,Newcastle Utd,30-203,1994,4,2,242,2.7,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0.37,0,0,0,0,0,0,0.01,0.03,0.05,0.01,0.05,Matches
275,Mohammed Kudus,gh GHA,"MF,FW",West Ham,24-203,2000,20,20,1653,18.4,0.16,0.05,0.22,0.16,0,0,0,0.05,0.28,0.28,0.11,0.38,3.53,2.99,8.1,0.16,0.05,0.22,0.16,0.22,0.28,0.11,0.38,0.28,0.38,Matches
276,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,24-302,2000,25,23,2040,22.7,0.26,0.18,0.44,0.26,0,0,0.13,0,0.18,0.18,0.26,0.44,4.98,4.93,8.41,0.26,0.18,0.44,0.26,0.44,0.18,0.26,0.44,0.18,0.44,Matches
277,Maxence Lacroix,fr FRA,DF,Crystal Palace,24-321,2000,22,22,1975,21.9,0.05,0.05,0.09,0.05,0,0,0.18,0,0.09,0.09,0.02,0.11,0.37,2.24,0.18,0.05,0.05,0.09,0.05,0.09,0.09,0.02,0.11,0.09,0.11,Matches
278,Adam Lallana,eng ENG,MF,Southampton,36-287,1988,13,5,341,3.8,0,0.53,0.53,0,0,0,1.05,0,0.05,0.05,0.24,0.29,1.32,6.05,2.63,0,0.53,0.53,0,0.53,0.04,0.24,0.28,0.04,0.28,Matches
279,Tariq Lamptey,gh GHA,DF,Brighton,24-144,2000,11,7,609,6.8,0.29,0.29,0.59,0.29,0,0,0,0,0.06,0.06,0.06,0.12,3.38,1.47,5.44,0.3,0.3,0.59,0.3,0.59,0.06,0.07,0.12,0.06,0.12,Matches
280,Will Lankshear,eng ENG,"FW,MF",Tottenham,19-307,2005,3,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,Matches
281,Romeo Lavia,be BEL,MF,Chelsea,21-046,2004,10,8,532,5.9,0,0.17,0.17,0,0,0,0.68,0,0.03,0.03,0.12,0.15,0.51,2.88,1.02,0,0.17,0.17,0,0.17,0.03,0.12,0.15,0.03,0.15,Matches
282,Mario Lemina,ga GAB,"MF,DF",Wolves,31-173,1993,17,15,1364,15.2,0.07,0.2,0.26,0.07,0,0,0.26,0,0.09,0.09,0.07,0.16,0.53,3.16,1.38,0.07,0.2,0.26,0.07,0.26,0.09,0.07,0.17,0.09,0.17,Matches
283,Bernd Leno,de GER,GK,Fulham,32-354,1992,25,25,2250,25,0,0.04,0.04,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0.04,0,0.01,0.01,0,0.01,Matches
284,Jefferson Lerma,co COL,MF,Crystal Palace,30-119,1994,20,16,1338,14.9,0,0,0,0,0,0,0.27,0,0.05,0.05,0.09,0.15,0.6,4.77,1.54,0,0,0,0,0,0.05,0.09,0.15,0.05,0.15,Matches
285,Rico Lewis,eng ENG,"DF,MF",Manchester City,20-092,2004,20,17,1492,16.6,0.06,0.12,0.18,0.06,0,0,0.3,0.06,0.07,0.07,0.02,0.09,2.05,5.18,3.49,0.06,0.12,0.18,0.06,0.18,0.07,0.02,0.09,0.07,0.09,Matches
286,Keane Lewis-Potter,eng ENG,"DF,FW",Brentford,23-365,2001,25,23,2009,22.3,0.04,0.09,0.13,0.04,0,0,0.18,0,0.11,0.11,0.08,0.18,3.18,2.96,4.98,0.04,0.09,0.13,0.04,0.13,0.11,0.08,0.18,0.11,0.18,Matches
287,Myles Lewis-Skelly,eng ENG,DF,Arsenal,18-148,2006,11,8,626,7,0.14,0,0.14,0.14,0,0,0.29,0.14,0,0,0.01,0.03,1.71,4.43,2.29,0.14,0,0.14,0.14,0.14,0.01,0.02,0.03,0.01,0.03,Matches
288,Matthijs de Ligt,nl NED,DF,Manchester Utd,25-193,1999,23,19,1639,18.2,0.05,0,0.05,0.05,0,0,0.16,0,0.1,0.1,0.02,0.12,0.33,2.31,0.22,0.05,0,0.05,0.05,0.05,0.11,0.02,0.12,0.11,0.12,Matches
289,Pedro Lima,br BRA,DF,Wolves,18-235,2006,2,1,59,0.7,0,0,0,0,0,0,0,0,0,0,0.14,0.14,4.29,4.29,12.9,0,0,0,0,0,0,0.11,0.11,0,0.11,Matches
290,Victor Lindelof,se SWE,"DF,MF",Manchester Utd,30-219,1994,5,0,63,0.7,0,0,0,0,0,0,1.43,0,0,0,0,0,0,7.14,1.43,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
291,Jesper Lindstrom,dk DEN,FW,Everton,24-358,2000,21,12,1027,11.4,0,0,0,0,0,0,0.18,0,0.18,0.18,0.17,0.35,2.46,1.67,5.7,0,0,0,0,0,0.18,0.17,0.35,0.18,0.35,Matches
292,Valentino Livramento,eng ENG,DF,Newcastle Utd,22-101,2002,24,19,1692,18.8,0,0,0,0,0,0,0,0,0.01,0.01,0.04,0.04,2.45,4.52,3.24,0,0,0,0,0,0.01,0.04,0.04,0.01,0.04,Matches
293,Sean Longstaff,eng ENG,MF,Newcastle Utd,27-114,1997,19,8,740,8.2,0,0,0,0,0,0,0.24,0,0.07,0.07,0.02,0.1,0.49,4.63,2.44,0,0,0,0,0,0.07,0.02,0.09,0.07,0.09,Matches
294,Sasa Lukic,rs SRB,MF,Fulham,28-192,1996,20,19,1582,17.6,0,0.11,0.11,0,0,0,0.51,0,0.05,0.05,0.14,0.19,1.65,3.75,1.19,0,0.11,0.11,0,0.11,0.05,0.14,0.19,0.05,0.19,Matches
295,Joe Lumley,eng ENG,GK,Southampton,30-006,1995,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
296,Massimo Luongo,au AUS,MF,Ipswich Town,32-149,1992,7,2,181,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.5,0,0,0,0,0,0,0,0,0,0,Matches
297,Ian Maatsen,nl NED,DF,Aston Villa,22-348,2002,20,3,514,5.7,0,0.18,0.18,0,0,0,0.35,0,0.04,0.04,0.28,0.32,2.63,4.91,9.12,0,0.18,0.18,0,0.18,0.04,0.28,0.32,0.04,0.32,Matches
298,Alexis Mac Allister,ar ARG,MF,Liverpool,26-059,1998,25,23,1890,21,0.1,0.14,0.24,0.1,0,0,0.29,0,0.1,0.1,0.17,0.27,1.24,6.43,2.81,0.1,0.14,0.24,0.1,0.24,0.1,0.17,0.27,0.1,0.27,Matches
299,James Maddison,eng ENG,MF,Tottenham,28-090,1996,23,16,1363,15.1,0.6,0.26,0.86,0.6,0,0,0.26,0,0.38,0.38,0.19,0.56,2.38,8.28,4.7,0.59,0.26,0.86,0.59,0.86,0.37,0.18,0.56,0.37,0.56,Matches
300,Noni Madueke,eng ENG,FW,Chelsea,22-348,2002,23,19,1453,16.1,0.43,0.19,0.62,0.43,0,0,0.19,0,0.47,0.47,0.22,0.7,6.83,3.29,11.1,0.43,0.19,0.62,0.43,0.62,0.47,0.22,0.7,0.47,0.7,Matches
301,Gabriel Magalhaes,br BRA,DF,Arsenal,27-064,1997,23,23,1988,22.1,0.14,0.05,0.18,0.14,0,0,0.14,0,0.11,0.11,0.04,0.15,0.23,4.48,0.41,0.14,0.05,0.18,0.14,0.18,0.11,0.04,0.15,0.11,0.15,Matches
302,Edmond-Paris Maghoma,eng ENG,MF,Brentford,23-289,2001,5,0,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,3.33,8.89,2.22,0,0,0,0,0,0,0,0,0,0,Matches
303,Harry Maguire,eng ENG,DF,Manchester Utd,31-353,1993,18,13,1178,13.1,0,0,0,0,0,0,0.53,0,0.05,0.05,0.02,0.07,0.38,2.98,0.23,0,0,0,0,0,0.05,0.02,0.07,0.05,0.07,Matches
304,Kobbie Mainoo,eng ENG,MF,Manchester Utd,19-308,2005,18,15,1285,14.3,0,0,0,0,0,0,0.35,0,0.03,0.03,0.1,0.14,1.33,3.64,2.45,0,0,0,0,0,0.04,0.11,0.14,0.04,0.14,Matches
305,Tyrell Malacia,nl NED,DF,Manchester Utd,25-188,1999,3,2,100,1.1,0,0,0,0,0,0,0.91,0,0,0,0,0,2.73,2.73,5.45,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
306,Donyell Malen,nl NED,FW,Aston Villa,26-043,1999,4,1,156,1.7,0,0,0,0,0,0,0,0,0.18,0.18,0,0.24,2.35,1.76,7.65,0,0,0,0,0,0.19,0.02,0.21,0.19,0.21,Matches
307,Orel Mangala,be BEL,MF,Everton,26-340,1998,19,14,1261,14,0.07,0,0.07,0.07,0,0,0.14,0,0.08,0.08,0.04,0.13,0.43,2.43,1.36,0.07,0,0.07,0.07,0.07,0.08,0.05,0.13,0.08,0.13,Matches
308,Ryan Manning,ie IRL,DF,Southampton,28-252,1996,14,10,767,8.5,0,0,0,0,0,0,0.12,0,0.01,0.01,0.2,0.21,1.18,0.94,6,0,0,0,0,0,0.02,0.2,0.21,0.02,0.21,Matches
309,Solly March,eng ENG,"MF,DF",Brighton,30-216,1994,2,0,25,0.3,0,0,0,0,0,0,3.33,0,0.33,0.33,0,0.33,0,0,3.33,0,0,0,0,0,0.23,0,0.23,0.23,0.23,Matches
310,Omar Marmoush,eg EGY,"FW,MF",Manchester City,26-014,1999,3,3,219,2.4,1.25,0,1.25,1.25,0,0,0,0,0.38,0.38,0.21,0.58,2.5,3.33,5.83,1.23,0,1.23,1.23,1.23,0.36,0.22,0.58,0.36,0.58,Matches
311,Gabriel Martinelli,br BRA,"FW,MF",Arsenal,23-248,2001,22,16,1458,16.2,0.37,0.19,0.56,0.37,0,0,0.06,0,0.25,0.25,0.18,0.43,4.81,1.73,11.4,0.37,0.19,0.56,0.37,0.56,0.25,0.18,0.43,0.25,0.43,Matches
312,Emiliano Martinez,ar ARG,GK,Aston Villa,32-172,1992,26,26,2295,25.5,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,Matches
313,Lisandro Martinez,ar ARG,DF,Manchester Utd,27-034,1998,20,20,1751,19.5,0.1,0.05,0.15,0.1,0,0,0.36,0,0.07,0.07,0.06,0.12,1.18,6,0.36,0.1,0.05,0.15,0.1,0.15,0.07,0.06,0.13,0.07,0.13,Matches
314,Pape Matar Sarr,sn SEN,MF,Tottenham,22-160,2002,25,15,1282,14.2,0.14,0.14,0.28,0.14,0,0,0.28,0,0.17,0.17,0.1,0.27,1.62,4.79,2.68,0.14,0.14,0.28,0.14,0.28,0.17,0.1,0.27,0.17,0.27,Matches
315,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,27-238,1997,25,23,1952,21.7,0.51,0.05,0.55,0.41,0.09,0.09,0.09,0,0.48,0.41,0.11,0.52,1.29,1.66,4.38,0.51,0.05,0.55,0.41,0.46,0.48,0.1,0.59,0.41,0.52,Matches
316,Stephy Mavididi,eng ENG,FW,Leicester City,26-266,1998,23,14,1306,14.5,0.21,0.07,0.28,0.21,0,0,0.14,0,0.1,0.1,0.17,0.27,4.9,3.59,7.31,0.21,0.07,0.28,0.21,0.28,0.11,0.16,0.27,0.11,0.27,Matches
317,Konstantinos Mavropanos,gr GRE,DF,West Ham,27-072,1997,21,16,1492,16.6,0,0,0,0,0,0,0.24,0.06,0.05,0.05,0.03,0.08,0.72,2.95,0.12,0,0,0,0,0,0.06,0.03,0.08,0.06,0.08,Matches
318,Noussair Mazraoui,ma MAR,DF,Manchester Utd,27-099,1997,25,23,1923,21.4,0,0.05,0.05,0,0,0,0.05,0,0.02,0.02,0.04,0.06,1.21,3.79,1.92,0,0.05,0.05,0,0.05,0.02,0.04,0.06,0.02,0.06,Matches
319,Bryan Mbeumo,cm CMR,FW,Brentford,25-198,1999,25,25,2244,24.9,0.56,0.12,0.68,0.4,0.16,0.16,0.08,0,0.33,0.21,0.25,0.45,3.41,3.94,9.84,0.56,0.12,0.68,0.4,0.52,0.33,0.25,0.58,0.21,0.45,Matches
320,James Mcatee,eng ENG,"MF,FW",Manchester City,22-126,2002,8,0,104,1.2,1.67,0,1.67,1.67,0,0,0,0,1.08,1.08,0,1.08,2.5,2.5,7.5,1.73,0,1.73,1.73,1.73,1.17,0,1.17,1.17,1.17,Matches
321,Kasey McAteer,ie IRL,"FW,MF",Leicester City,23-091,2001,11,4,386,4.3,0,0.23,0.23,0,0,0,0.23,0,0.14,0.14,0.09,0.21,3.02,1.86,8.37,0,0.23,0.23,0,0.23,0.13,0.08,0.21,0.13,0.21,Matches
