Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,01-Mar,CPA,Mis,Dis,Rec,PrgR,Matches
37,Yasin Ayari,se SWE,MF,Brighton,21-138,2003,14.2,56.8,2.75,13,28.6,16.1,2.39,56.8,2.54,1.06,41.7,0.92,36.1,29.3,146,64.9,1.41,0.92,0.35,1.83,1.27,36.5,3.59,Matches
38,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-163,1991,0.2,60,0,0,35,25,5,60,0,0,,0,,30,125,60,0,0,0,0,5,45,5,Matches
39,Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-163,1991,13.8,43.6,1.23,6.23,22.4,16.2,3.26,43.5,3.55,1.3,36.7,1.88,53.1,26.2,174,77.5,2.17,1.96,0.51,3.26,2.25,29.3,4.57,Matches
40,Benoit Badiashile,fr FRA,DF,Chelsea,23-332,2001,2.8,87.5,5.71,35.4,48.6,3.93,0,87.5,0.36,0,0,0.36,100,50,183.6,102.9,1.07,1.43,0,0.36,0,63.6,0.71,Matches
41,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-196,1997,11.5,42.8,1.22,5.91,12.3,25.4,5.39,42.8,4.61,1.65,35.8,2,43.4,27.6,203.5,104.3,4.43,1.91,2.43,2.61,2.09,30.8,9.3,Matches
42,Carlos Baleba,cm CMR,MF,Brighton,21-049,2004,17.8,54,2.7,12.4,31.8,11.5,0.39,54,2.08,1.12,54.1,0.84,40.5,29.7,173.8,87.1,1.57,1.35,0.11,1.4,1.35,31.9,0.96,Matches
43,Ross Barkley,eng ENG,MF,Aston Villa,31-078,1993,6.2,69.2,2.58,11,41.1,18.1,2.74,69.2,1.61,1.29,80,0.32,20,41,222.1,103.2,2.26,2.1,0.32,0.81,1.29,48.7,1.29,Matches
44,Harvey Barnes,eng ENG,FW,Newcastle Utd,27-074,1997,8.7,43,0.92,5.63,14.7,22.6,6.55,43,3.22,1.38,42.9,1.26,39.3,31.5,231.1,125.1,4.83,2.41,2.64,1.84,1.15,35.1,9.43,Matches
45,Calvin Bassey,ng NGA,DF,Fulham,25-052,1999,24,72.6,9.79,35.7,33.7,3.92,0.58,72.6,0.83,0.33,40,0.29,35,46.3,226.5,123.8,0.79,0.54,0.13,0.92,0.25,50.6,0.46,Matches
46,Jan Bednarek,pl POL,DF,Southampton,28-315,1996,20.8,80.2,14.1,41.8,37.1,1.73,0.63,80.2,0.14,0.14,100,0,0,40.8,147.7,70,0.19,0.24,0.05,0.43,0.14,52.1,0.05,Matches
47,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-239,1998,11,41.1,1.55,7.55,17.4,17,2.64,41.1,3.55,0.64,17.9,1.82,51.3,25.8,163.7,72.9,2.36,1.73,0.64,1.73,1.36,28.2,4.91,Matches
48,Rodrigo Bentancur,uy URU,MF,Tottenham,27-241,1997,10.5,75,3.81,17.2,45.3,13,1.14,75,1.05,0.48,45.5,0.48,45.5,44.6,200,85,1.43,1.14,0.29,0.76,1.24,50.1,1.33,Matches
49,Sander Berge,no NOR,MF,Fulham,27-007,1998,14.6,57.1,4.04,15.9,33.4,8.15,0.62,57.1,0.68,0.34,50,0.27,40,31.8,161.7,68.9,0.96,0.82,0.14,0.21,0.62,34.5,0.07,Matches
50,Lucas Bergvall,se SWE,MF,Tottenham,19-019,2006,7.4,75.3,3.38,16.1,40.7,19.9,1.35,75.3,3.38,1.62,48,1.22,36,45.1,283.4,129.7,2.16,1.62,0.14,1.89,1.49,51.9,2.16,Matches
51,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-067,2002,21.5,62.5,4.56,23.4,27.8,11.7,0.56,62.5,0.7,0.28,40,0.37,53.3,31.7,147.3,68,1.4,0.7,0.19,0.42,0.56,34.3,2.6,Matches
52,Beto,gw GNB,FW,Everton,27-021,1998,6.5,32.8,1.38,3.08,14,16.2,5.38,32.8,3.38,1.85,54.5,1.38,40.9,18.5,104.5,39.2,1.23,0.62,0.46,4.46,2.31,24.5,4.92,Matches
53,Philip Billing,dk DEN,MF,Bournemouth,28-255,1996,2,74,2.5,10,36,28.5,6,74,1.5,0.5,33.3,0,0,29,127,81.5,1.5,0.5,0.5,3.5,2,37.5,6.5,Matches
54,Yves Bissouma,ml MLI,MF,Tottenham,28-175,1996,11.7,68,4.53,18.9,38.5,11.1,0.34,68,1.54,0.51,33.3,1.03,66.7,40.1,244.3,113.8,1.28,1.45,0,1.71,0.77,46.2,0.26,Matches
55,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-047,2004,3.9,61.3,2.31,14.1,38.2,9.23,0.77,61.3,1.03,0.51,50,0.26,25,34.4,193.3,114.6,2.56,1.54,0.26,1.28,1.79,40,2.05,Matches
56,Willy Boly,ci CIV,DF,Nott'ham Forest,34-018,1991,1.5,57.3,13.3,38.7,17.3,1.33,0.67,57.3,0,0,,0,,22,76.7,23.3,0,0,0,0.67,0,27.3,0,Matches
