Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
285,Rico Lewis,eng ENG,"DF,MF",Manchester City,20-092,2004,16.6,1.51,0.9,0.66,0.6,0.24,0.6,0.9,66.7,0.3,1.39,0.24,1.14,0.66,2.17,2.11,0.06,Matches
286,Keane Lewis-Potter,eng ENG,"DF,FW",Brentford,23-365,2001,22.3,1.57,0.94,0.85,0.54,0.18,0.99,1.43,68.8,0.45,0.81,0.31,0.49,0.45,2.02,2.06,0.04,Matches
287,Myles Lewis-Skelly,eng ENG,DF,Arsenal,18-148,2006,7,2.71,1.86,1.43,1.29,0,1.14,1.14,100,0,0,0,0,0.71,3.43,1.43,0,Matches
288,Matthijs de Ligt,nl NED,DF,Manchester Utd,25-193,1999,18.2,1.1,0.77,0.6,0.44,0.05,0.82,1.26,65.2,0.44,1.26,0.99,0.27,1.54,2.64,3.3,0,Matches
289,Pedro Lima,br BRA,DF,Wolves,18-235,2006,0.7,1.43,0,0,0,1.43,1.43,2.86,50,1.43,0,0,0,1.43,2.86,5.71,0,Matches
290,Victor Lindelof,se SWE,"DF,MF",Manchester Utd,30-219,1994,0.7,4.29,0,4.29,0,0,1.43,1.43,100,0,1.43,0,1.43,2.86,7.14,5.71,0,Matches
291,Jesper Lindstrom,dk DEN,FW,Everton,24-358,2000,11.4,3.25,1.75,1.75,1.32,0.18,1.4,4.21,33.3,2.81,1.14,0.26,0.88,0.96,4.21,1.4,0,Matches
292,Valentino Livramento,eng ENG,DF,Newcastle Utd,22-101,2002,18.8,1.76,1.22,1.17,0.48,0.11,1.06,1.76,60.6,0.69,1.12,0.43,0.69,1.01,2.77,3.56,0.05,Matches
293,Sean Longstaff,eng ENG,MF,Newcastle Utd,27-114,1997,8.2,3.29,1.95,1.22,1.1,0.98,2.2,3.17,69.2,0.98,1.71,0.37,1.34,0.73,4.02,0.49,0,Matches
294,Sasa Lukic,rs SRB,MF,Fulham,28-192,1996,17.6,2.73,1.36,0.8,1.76,0.17,0.8,2.22,35.9,1.42,0.91,0.34,0.57,1.14,3.86,1.25,0,Matches
295,Joe Lumley,eng ENG,GK,Southampton,30-006,1995,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
296,Massimo Luongo,au AUS,MF,Ipswich Town,32-149,1992,2,4,2.5,3,0.5,0.5,2,3.5,57.1,1.5,2,1,1,1,5,1,0,Matches
297,Ian Maatsen,nl NED,DF,Aston Villa,22-348,2002,5.7,2.11,1.23,1.05,0.88,0.18,0.88,1.93,45.5,1.05,0.88,0,0.88,1.23,3.33,2.98,0.18,Matches
298,Alexis Mac Allister,ar ARG,MF,Liverpool,26-059,1998,21,3.43,2.19,0.9,2.1,0.43,2,3.67,54.5,1.67,2.43,0.19,2.24,0.81,4.24,0.9,0.05,Matches
299,James Maddison,eng ENG,MF,Tottenham,28-090,1996,15.1,1.46,0.86,0.33,0.73,0.4,0.53,1.59,33.3,1.06,0.79,0.2,0.6,0.73,2.19,1.06,0,Matches
300,Noni Madueke,eng ENG,FW,Chelsea,22-348,2002,16.1,0.99,0.68,0.43,0.5,0.06,0.68,1.8,37.9,1.12,0.68,0,0.68,0.43,1.43,0.56,0,Matches
301,Gabriel Magalhaes,br BRA,DF,Arsenal,27-064,1997,22.1,1,0.63,0.45,0.32,0.23,0.5,0.68,73.3,0.18,1.67,1.18,0.5,0.54,1.54,3.44,0.09,Matches
302,Edmond-Paris Maghoma,eng ENG,MF,Brentford,23-289,2001,0.9,2.22,1.11,0,2.22,0,1.11,3.33,33.3,2.22,1.11,1.11,0,1.11,3.33,1.11,0,Matches
303,Harry Maguire,eng ENG,DF,Manchester Utd,31-353,1993,13.1,1.53,0.69,1.15,0.31,0.08,0.76,0.99,76.9,0.23,0.76,0.61,0.15,2.37,3.89,3.82,0.08,Matches
304,Kobbie Mainoo,eng ENG,MF,Manchester Utd,19-308,2005,14.3,2.59,1.68,1.05,0.77,0.77,1.4,2.31,60.6,0.91,1.05,0.14,0.91,1.19,3.78,0.42,0.07,Matches
305,Tyrell Malacia,nl NED,DF,Manchester Utd,25-188,1999,1.1,1.82,0.91,1.82,0,0,0.91,1.82,50,0.91,0,0,0,0.91,2.73,0.91,0.91,Matches
306,Donyell Malen,nl NED,FW,Aston Villa,26-043,1999,1.7,2.35,1.18,1.18,0.59,0.59,0,0,,0,0,0,0,0,2.35,0,0,Matches
307,Orel Mangala,be BEL,MF,Everton,26-340,1998,14,1.14,0.57,0.21,0.79,0.14,0.36,0.57,62.5,0.21,0.57,0.21,0.36,1.5,2.64,1.71,0.07,Matches
308,Ryan Manning,ie IRL,DF,Southampton,28-252,1996,8.5,2.35,1.65,1.29,0.82,0.24,1.18,2,58.8,0.82,1.53,0.94,0.59,0.94,3.29,2,0,Matches
309,Solly March,eng ENG,"MF,DF",Brighton,30-216,1994,0.3,13.3,6.67,6.67,3.33,3.33,10,10,100,0,3.33,0,3.33,3.33,16.7,0,0,Matches
310,Omar Marmoush,eg EGY,"FW,MF",Manchester City,26-014,1999,2.4,1.25,0.83,0.83,0,0.42,1.25,2.08,60,0.83,1.67,0,1.67,0.83,2.08,0.42,0,Matches
311,Gabriel Martinelli,br BRA,"FW,MF",Arsenal,23-248,2001,16.2,0.99,0.8,0.37,0.25,0.37,0.37,1.23,30,0.86,0.49,0,0.49,0.12,1.11,0.8,0,Matches
312,Emiliano Martinez,ar ARG,GK,Aston Villa,32-172,1992,25.5,0.08,0.08,0.08,0,0,0.04,0.04,100,0,0.04,0,0.04,0,0.08,0.51,0.24,Matches
313,Lisandro Martinez,ar ARG,DF,Manchester Utd,27-034,1998,19.5,2.05,1.23,1.28,0.62,0.15,1.08,1.85,58.3,0.77,1.13,0.41,0.72,1.64,3.69,2.92,0.05,Matches
314,Pape Matar Sarr,sn SEN,MF,Tottenham,22-160,2002,14.2,2.39,1.69,1.06,1.2,0.14,0.49,1.2,41.2,0.7,1.34,0.42,0.92,1.34,3.73,1.2,0.07,Matches
315,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,27-238,1997,21.7,0.51,0.32,0.14,0.28,0.09,0.09,0.55,16.7,0.46,0.6,0.14,0.46,0.09,0.6,0.78,0,Matches
316,Stephy Mavididi,eng ENG,FW,Leicester City,26-266,1998,14.5,1.86,1.03,0.97,0.62,0.28,0.69,2.14,32.3,1.45,1.45,0.14,1.31,0.69,2.55,0.76,0,Matches
317,Konstantinos Mavropanos,gr GRE,DF,West Ham,27-072,1997,16.6,1.69,1.27,1.14,0.48,0.06,0.72,1.39,52.2,0.66,1.14,0.84,0.3,1.93,3.61,5.06,0.06,Matches
318,Noussair Mazraoui,ma MAR,DF,Manchester Utd,27-099,1997,21.4,3.5,2.06,1.68,1.26,0.56,1.82,3.08,59.1,1.26,1.07,0.28,0.79,1.17,4.67,2.66,0,Matches
319,Bryan Mbeumo,cm CMR,FW,Brentford,25-198,1999,24.9,1.24,0.68,0.48,0.4,0.36,0.44,0.72,61.1,0.28,0.72,0.12,0.6,0.44,1.69,1.53,0,Matches
320,James Mcatee,eng ENG,"MF,FW",Manchester City,22-126,2002,1.2,2.5,1.67,0,2.5,0,0,1.67,0,1.67,3.33,0,3.33,0.83,3.33,0,0,Matches
321,Kasey McAteer,ie IRL,"FW,MF",Leicester City,23-091,2001,4.3,2.56,1.86,1.4,0.93,0.23,1.4,3.26,42.9,1.86,1.86,0.23,1.63,0.47,3.02,2.33,0,Matches
322,Alex McCarthy,eng ENG,GK,Southampton,35-080,1989,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.2,0.8,Matches
323,John McGinn,sct SCO,"MF,FW",Aston Villa,30-126,1994,17.1,1.23,0.82,0.41,0.58,0.23,0.47,1.05,44.4,0.58,0.58,0,0.58,0.47,1.7,0.35,0.12,Matches
324,Dwight McNeil,eng ENG,"MF,FW",Everton,25-091,1999,12.7,0.79,0.47,0.39,0.24,0.16,0.55,1.26,43.8,0.71,0.55,0,0.55,0.39,1.18,0.08,0.08,Matches
325,Scott McTominay,sct SCO,MF,Manchester Utd,28-075,1996,0.2,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,Matches
326,Ben Mee,eng ENG,DF,Brentford,35-153,1989,2,1,1,0,1,0,0.5,0.5,100,0,1.5,1.5,0,2,3,3.5,0,Matches
327,Jayden Meghoma,eng ENG,DF,Brentford,18-238,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
328,Mikel Merino,es ESP,MF,Arsenal,28-244,1996,8.8,2.39,1.36,0.57,1.14,0.68,0.8,2.05,38.9,1.25,1.7,0.57,1.14,1.36,3.75,1.59,0.11,Matches
329,Nikola Milenkovic,rs SRB,DF,Nott'ham Forest,27-132,1997,24,1.13,0.75,0.79,0.33,0,0.5,0.67,75,0.17,1.21,0.67,0.54,0.71,1.83,4.92,0,Matches
330,Lewis Miley,eng ENG,MF,Newcastle Utd,18-296,2006,0.9,4.44,4.44,1.11,3.33,0,2.22,3.33,66.7,1.11,1.11,0,1.11,0,4.44,2.22,0,Matches
331,James Milner,eng ENG,MF,Brighton,39-048,1986,1.9,2.63,1.05,0.53,1.58,0.53,1.58,1.58,100,0,2.11,1.05,1.05,1.05,3.68,1.05,0.53,Matches
332,Tyrone Mings,eng ENG,DF,Aston Villa,31-345,1993,7,0.57,0.57,0.43,0.14,0,0.14,0.14,100,0,1.29,1,0.29,0.29,0.86,5.43,0,Matches
333,Yankuba Minteh,gm GAM,"FW,MF",Brighton,20-214,2004,10.3,2.14,1.55,1.07,0.39,0.68,0.78,2.23,34.8,1.46,1.26,0,1.26,0.58,2.72,0.97,0,Matches
334,Tyrick Mitchell,eng ENG,DF,Crystal Palace,25-173,1999,23.9,2.59,1.72,1.67,0.75,0.17,0.67,1.38,48.5,0.71,2.13,0.38,1.76,0.38,2.97,2.89,0.08,Matches
335,Kaoru Mitoma,jp JPN,"FW,MF",Brighton,27-277,1997,22,1.41,0.86,0.45,0.55,0.41,0.68,1.82,37.5,1.14,1.68,0.09,1.59,0.55,1.95,0.27,0,Matches
336,Jakub Moder,pl POL,MF,Brighton,25-320,1999,0.1,10,0,10,0,0,0,20,0,20,0,0,0,0,10,30,0,Matches
337,Mikey Moore,eng ENG,"FW,MF",Tottenham,17-194,2007,2.1,0,0,0,0,0,0,0.48,0,0.48,0.48,0,0.48,0.48,0.48,0.48,0,Matches
338,Morato,br BRA,DF,Nott'ham Forest,23-236,2001,6.7,2.69,1.79,2.24,0.3,0.15,1.64,2.69,61.1,1.04,1.34,0.6,0.75,1.19,3.88,8.96,0.3,Matches
339,Alex Moreno,es ESP,DF,Nott'ham Forest,31-258,1993,9,2.67,2,2.11,0.56,0,1.56,3.78,41.2,2.22,1.22,0.56,0.67,1.56,4.22,3.67,0,Matches
340,Sam Morsy,eg EGY,MF,Ipswich Town,33-164,1991,21.1,2.32,1.23,1.18,0.95,0.19,0.95,2.37,40,1.42,1.04,0.38,0.66,1,3.32,1.71,0.19,Matches
341,Yerson Mosquera,co COL,DF,Wolves,23-295,2001,4.9,2.24,1.43,1.84,0.41,0,1.84,2.86,64.3,1.02,2.65,2.04,0.61,2.04,4.29,2.86,0,Matches
342,Mason Mount,eng ENG,"MF,FW",Manchester Utd,26-042,1999,2.7,2.22,0.74,1.11,1.11,0,1.85,2.59,71.4,0.74,1.48,0.37,1.11,0,2.22,0,0,Matches
343,Divin Mubama,eng ENG,FW,Manchester City,20-119,2004,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
344,Mykhailo Mudryk,ua UKR,FW,Chelsea,24-047,2001,1.7,1.18,1.18,1.18,0,0,0,0,,0,1.76,0.59,1.18,0,1.18,0.59,0,Matches
345,Marshall Munetsi,zw ZIM,FW,Wolves,28-244,1996,0.5,4,2,0,0,4,2,2,100,0,0,0,0,0,4,0,0,Matches
346,Rodrigo Muniz,br BRA,FW,Fulham,23-293,2001,7.6,0.79,0.39,0.26,0.26,0.26,0.39,0.39,100,0,1.05,0.13,0.92,0.53,1.32,1.18,0,Matches
347,Daniel Munoz,co COL,DF,Crystal Palace,28-271,1996,23,3.83,2.57,1.87,1.17,0.78,1.61,2.83,56.9,1.22,1,0.09,0.91,1.09,4.91,2.78,0.04,Matches
348,Arijanet Muric,xk KVX,GK,Ipswich Town,26-106,1998,18,0,0,0,0,0,0,0.11,0,0.11,0,0,0,0,0,0.56,0.28,Matches
349,Murillo,br BRA,DF,Nott'ham Forest,22-232,2002,23.5,1.66,1.19,1.15,0.38,0.13,0.85,1.45,58.8,0.6,2.17,1.36,0.81,1.06,2.72,6.6,0.09,Matches
350,Jacob Murphy,eng ENG,FW,Newcastle Utd,29-363,1995,15.9,0.94,0.75,0.31,0.31,0.31,0.75,1.32,57.1,0.57,1.32,0,1.32,0.57,1.51,1.01,0,Matches
351,Vitaliy Mykolenko,ua UKR,DF,Everton,25-268,1999,22.2,1.85,1.08,1.13,0.45,0.27,0.95,1.71,55.3,0.77,0.68,0.32,0.36,1.22,3.06,4.37,0.05,Matches
352,Iliman Ndiaye,sn SEN,FW,Everton,24-352,2000,20.9,2.11,1.05,0.86,0.62,0.62,0.86,2.06,41.9,1.2,1,0.19,0.81,0.81,2.92,0.91,0.05,Matches
353,Wilfred Ndidi,ng NGA,MF,Leicester City,28-067,1996,14.4,3.4,2.01,1.81,1.39,0.21,1.04,2.5,41.7,1.46,2.29,0.9,1.39,0.76,4.17,3.47,0,Matches
354,Kosta Nedeljkovic,rs SRB,DF,Aston Villa,19-067,2005,1.4,5,3.57,0.71,2.14,2.14,1.43,2.14,66.7,0.71,0.71,0,0.71,0,5,2.14,0,Matches
355,Reiss Nelson,eng ENG,FW,Arsenal,25-073,1999,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,Matches
356,Reiss Nelson,eng ENG,FW,Fulham,25-073,1999,5.4,1.48,1.11,0.56,0.56,0.37,0.93,2.41,38.5,1.48,2.04,0,2.04,0.93,2.41,0.37,0,Matches
357,Neto,br BRA,GK,Bournemouth,35-217,1989,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.5,0.5,Matches
358,Pedro Neto,pt POR,FW,Chelsea,24-349,2000,13.3,1.05,0.53,0.38,0.53,0.15,0.38,1.05,35.7,0.68,0.6,0.08,0.53,0.53,1.58,0.23,0,Matches
359,Eddie Nketiah,eng ENG,"MF,FW",Crystal Palace,25-267,1999,7,1.71,0.71,0.86,0.29,0.57,0.71,1.57,45.5,0.86,0.86,0,0.86,0.29,2,0.86,0,Matches
360,Christopher Nkunku,fr FRA,FW,Chelsea,27-099,1997,6.1,0.66,0.66,0,0.16,0.49,0.33,0.33,100,0,1.15,0.33,0.82,0.66,1.31,1.15,0,Matches
361,Matheus Nunes,pt POR,"DF,MF",Manchester City,26-178,1998,9.9,2.53,1.62,1.01,0.91,0.61,1.21,2.32,52.2,1.11,1.11,0.3,0.81,0.91,3.43,2.12,0,Matches
362,Darwin Nunez,uy URU,FW,Liverpool,25-242,1999,10,1.7,1.4,1,0.3,0.4,0.5,1.3,38.5,0.8,0.6,0,0.6,0.1,1.8,1,0,Matches
363,Ethan Nwaneri,eng ENG,"FW,MF",Arsenal,17-337,2007,4.2,1.67,1.19,0.71,0.48,0.48,0.95,2.86,33.3,1.9,1.19,0.24,0.95,0.24,1.9,0.24,0,Matches
364,Christian Norgaard,dk DEN,MF,Brentford,30-348,1994,19.8,3.03,1.87,1.26,1.52,0.25,1.77,2.83,62.5,1.06,1.52,0.56,0.96,1.67,4.7,2.22,0.05,Matches
365,Jake O'Brien,ie IRL,DF,Everton,23-282,2001,5.5,1.82,1.45,1.64,0.18,0,0.91,1.27,71.4,0.36,0.73,0.18,0.55,0.18,2,6.18,0,Matches
366,Matt O'Riley,dk DEN,MF,Brighton,24-092,2000,5.3,1.7,1.32,0.19,1.13,0.38,0.38,1.51,25,1.13,0.75,0.19,0.57,2.08,3.77,0.75,0.19,Matches
367,Dara O'Shea,ie IRL,DF,Ipswich Town,25-354,1999,21.7,1.52,0.88,0.97,0.46,0.09,0.6,0.92,65,0.32,1.75,1.38,0.37,1.11,2.63,6.04,0.14,Matches
368,Chidozie Obi-Martin,dk DEN,MF,Manchester Utd,17-084,2007,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
369,Wilson Odobert,fr FRA,FW,Tottenham,20-085,2004,1.8,2.78,1.11,1.11,1.11,0.56,2.22,3.33,66.7,1.11,0.56,0,0.56,0,2.78,0.56,0.56,Matches
370,Chiedozie Ogbene,ie IRL,FW,Ipswich Town,27-296,1997,2.6,2.69,1.15,0.38,0.77,1.54,0.77,1.54,50,0.77,0.38,0,0.38,0.38,3.08,1.15,0,Matches
371,Caleb Okoli,it ITA,DF,Leicester City,23-223,2001,10.2,2.35,1.27,0.78,1.37,0.2,0.98,1.37,71.4,0.39,2.06,1.18,0.88,1.18,3.53,6.27,0.2,Matches
372,Robin Olsen,se SWE,GK,Aston Villa,35-044,1990,0.5,2,0,2,0,0,2,2,100,0,0,0,0,0,2,2,0,Matches
373,Amadou Onana,be BEL,MF,Aston Villa,23-189,2001,12,3.17,1.83,1.5,1.42,0.25,0.92,1.75,52.4,0.83,1.08,0.5,0.58,1.58,4.75,2.17,0.25,Matches
374,Andre Onana,cm CMR,GK,Manchester Utd,28-325,1996,25,0.04,0.04,0.04,0,0,0.04,0.12,33.3,0.08,0,0,0,0,0.04,0.36,0.16,Matches
375,Paul Onuachu,ng NGA,FW,Southampton,30-269,1994,7,0.57,0.14,0.14,0.43,0,0.29,0.57,50,0.29,0.43,0.14,0.29,0.14,0.71,1.57,0,Matches
376,Frank Onyeka,ng NGA,MF,Brentford,27-051,1998,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
377,Lewis Orford,eng ENG,MF,West Ham,19-003,2006,0.5,0,0,0,0,0,0,0,,0,2,0,2,2,2,0,0,Matches
378,Stefan Ortega,de GER,GK,Manchester City,32-107,1992,9,0,0,0,0,0,0,0.11,0,0.11,0,0,0,0,0,0.89,0.11,Matches
379,William Osula,dk DEN,"FW,MF",Newcastle Utd,21-201,2003,0.5,2,0,0,0,2,0,2,0,2,0,0,0,2,4,0,0,Matches
380,Dango Ouattara,bf BFA,FW,Bournemouth,23-010,2002,14.8,1.89,1.55,0.68,0.61,0.61,0.95,2.09,45.2,1.15,1.55,0.47,1.08,0.47,2.36,2.36,0,Matches
381,Nico O’Reilly,eng ENG,"MF,DF",Manchester City,19-337,2005,0.3,6.67,0,0,6.67,0,0,0,,0,0,0,0,0,6.67,3.33,0,Matches
382,Alex Palmer,eng ENG,GK,Ipswich Town,28-195,1996,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
383,Cole Palmer,eng ENG,MF,Chelsea,22-291,2002,24.3,0.74,0.41,0.37,0.21,0.16,0.29,0.74,38.9,0.45,0.53,0.04,0.49,0.21,0.95,0.37,0.04,Matches
384,Emerson Palmieri,it ITA,DF,West Ham,30-202,1994,18.6,2.63,1.4,1.67,0.81,0.16,1.08,1.88,57.1,0.81,1.34,0.32,1.02,0.91,3.55,2.31,0,Matches
385,Lucas Paqueta,br BRA,"MF,FW",West Ham,27-178,1997,18.9,2.7,1.64,0.95,1.27,0.48,1.06,1.9,55.6,0.85,1.27,0.16,1.11,0.63,3.33,1.22,0.16,Matches
386,Thomas Partey,gh GHA,"MF,DF",Arsenal,31-253,1993,21.4,3.13,1.96,0.93,1.4,0.79,1.73,2.66,64.9,0.93,0.79,0.28,0.51,1.21,4.35,1.73,0.19,Matches
387,Nathan Patterson,sct SCO,"DF,FW",Everton,23-128,2001,1.4,2.14,0.71,0.71,1.43,0,0.71,2.86,25,2.14,1.43,0,1.43,0,2.14,2.14,0,Matches
388,Andreas Pereira,br BRA,MF,Fulham,29-051,1996,14.3,0.91,0.35,0.28,0.42,0.21,0.42,1.89,22.2,1.47,0.63,0.07,0.56,0.42,1.33,0.49,0.07,Matches
389,Ricardo Pereira,pt POR,DF,Leicester City,31-138,1993,1.6,1.88,1.25,0,0.63,1.25,0.63,2.5,25,1.88,1.88,0.63,1.25,0.63,2.5,0,0,Matches
390,Kalvin Phillips,eng ENG,MF,Ipswich Town,29-081,1995,10.6,2.55,1.42,0.57,1.51,0.47,1.04,2.92,35.5,1.89,2.55,0.57,1.98,1.6,4.15,2.83,0.09,Matches
391,Jaden Philogene Bidace,eng ENG,"FW,MF",Aston Villa,23-013,2002,3.7,2.97,1.35,1.08,1.89,0,1.08,1.62,66.7,0.54,1.35,0,1.35,0.81,3.78,0.54,0.27,Matches
392,Jaden Philogene Bidace,eng ENG,"FW,MF",Ipswich Town,23-013,2002,1.5,2,1.33,0.67,1.33,0,0.67,2.67,25,2,2,0,2,2,4,0,0,Matches
393,Jordan Pickford,eng ENG,GK,Everton,30-351,1994,25,0.04,0,0.04,0,0,0.04,0.08,50,0.04,0,0,0,0.04,0.08,0.92,0.04,Matches
394,Ethan Pinnock,jm JAM,DF,Brentford,31-268,1993,16.3,1.84,0.98,0.86,0.8,0.18,0.74,1.1,66.7,0.37,1.53,0.98,0.55,1.17,3.01,6.56,0.18,Matches
395,Daniel Podence,pt POR,"MF,FW",Wolves,29-123,1995,0.5,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,Matches
396,Alfie Pond,eng ENG,DF,Wolves,20-357,2004,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
397,Nick Pope,eng ENG,GK,Newcastle Utd,32-308,1992,15,0,0,0,0,0,0,0,,0,0.07,0,0.07,0.07,0.07,1.07,0.27,Matches
398,Pedro Porro,es ESP,DF,Tottenham,25-161,1999,23.1,2.29,1.65,1.13,0.78,0.39,1.6,2.73,58.7,1.13,1.6,0.56,1.04,1.21,3.51,2.99,0.04,Matches
399,Jarell Quansah,eng ENG,DF,Liverpool,22-023,2003,3.1,2.9,2.26,2.26,0.65,0,1.29,1.61,80,0.32,1.29,1.29,0,1.61,4.52,3.87,0,Matches
400,Hakon Rafn Valdimarsson,is ISL,GK,Brentford,23-131,2001,1.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,1.25,0,Matches
401,Aaron Ramsdale,eng ENG,GK,Southampton,26-283,1998,17,0,0,0,0,0,0,0.06,0,0.06,0,0,0,0.12,0.12,0.47,0.12,Matches
402,Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,23-269,2001,11.9,1.6,0.84,0.84,0.59,0.17,0.59,0.92,63.6,0.34,1.09,0.25,0.84,0.59,2.18,0.42,0,Matches
403,Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,27-113,1997,10.9,0.64,0.37,0.18,0.18,0.28,0.28,0.83,33.3,0.55,0.73,0,0.73,0.37,1.01,0.64,0,Matches
404,Marcus Rashford,eng ENG,FW,Aston Villa,27-113,1997,1.2,3.33,1.67,0,0.83,2.5,1.67,1.67,100,0,0.83,0,0.83,0,3.33,0,0,Matches
405,David Raya,es ESP,GK,Arsenal,29-159,1995,25,0,0,0,0,0,0,0.04,0,0.04,0,0,0,0.04,0.04,0.48,0.16,Matches
406,Harrison Reed,eng ENG,MF,Fulham,30-025,1995,0.8,6.25,2.5,2.5,2.5,1.25,0,2.5,0,2.5,1.25,0,1.25,1.25,7.5,2.5,0,Matches
407,Remy Rees-Dottin,eng ENG,FW,Bournemouth,18-352,2006,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
408,Sergio Reguilon,es ESP,DF,Tottenham,28-067,1996,1.4,2.86,2.14,0.71,2.14,0,1.43,2.14,66.7,0.71,2.86,0,2.86,1.43,4.29,2.14,0,Matches
409,Bobby Reid,jm JAM,"FW,MF",Leicester City,32-019,1993,5.8,1.03,0.52,0.34,0.69,0,0.52,1.9,27.3,1.38,1.03,0.17,0.86,0,1.03,0.86,0,Matches
410,Chadi Riad,ma MAR,DF,Crystal Palace,21-249,2003,1,5,2,2,2,1,2,3,66.7,1,0,0,0,2,7,0,0,Matches
411,Declan Rice,eng ENG,MF,Arsenal,26-038,1999,20.3,1.72,0.74,0.54,0.89,0.3,0.54,1.38,39.3,0.84,0.89,0.49,0.39,0.84,2.56,1.38,0,Matches
412,Chris Richards,us USA,DF,Crystal Palace,24-330,2000,11.9,2.35,1.6,1.26,0.76,0.34,1.34,2.35,57.1,1.01,1.76,0.59,1.18,0.76,3.11,5.55,0,Matches
413,Richarlison,br BRA,FW,Tottenham,27-287,1997,3.1,1.29,0.97,0,0.97,0.32,0,0,,0,0.32,0.32,0,0,1.29,2.58,0,Matches
414,Andrew Robertson,sct SCO,DF,Liverpool,30-347,1994,21.1,1.47,0.95,0.9,0.43,0.14,1.14,1.85,61.5,0.71,0.43,0.19,0.24,0.85,2.32,1.8,0.05,Matches
415,Antonee Robinson,us USA,DF,Fulham,27-197,1997,25,2.6,1.72,1.64,0.84,0.12,1.24,2.56,48.4,1.32,1.12,0.16,0.96,1.8,4.4,3.2,0,Matches
416,Rodri,es ESP,MF,Manchester City,28-244,1996,0.7,2.86,1.43,1.43,1.43,0,0,0,,0,1.43,0,1.43,1.43,4.29,0,0,Matches
417,Guido Rodriguez,ar ARG,MF,West Ham,30-315,1994,11.3,2.65,1.42,1.68,0.97,0,1.24,2.65,46.7,1.42,1.86,0.8,1.06,1.06,3.72,2.48,0.09,Matches
418,Mads Roerslev,dk DEN,DF,Brentford,25-242,1999,12.2,1.48,0.66,1.15,0.25,0.08,0.9,2.3,39.3,1.39,0.98,0.41,0.57,0.33,1.8,2.87,0,Matches
419,Morgan Rogers,eng ENG,"MF,FW",Aston Villa,22-210,2002,23.1,0.95,0.48,0.22,0.43,0.3,0.39,1.04,37.5,0.65,0.78,0.17,0.61,0.17,1.13,0.74,0.04,Matches
420,Cristian Romero,ar ARG,DF,Tottenham,26-300,1998,10.8,2.5,2.13,2.04,0.46,0,1.39,2.04,68.2,0.65,1.2,0.28,0.93,1.2,3.7,2.96,0,Matches
421,Georginio Rutter,fr FRA,"FW,MF",Brighton,22-307,2002,14.9,1.81,0.67,0.6,0.81,0.4,0.67,1.95,34.5,1.28,1.21,0.13,1.07,0.54,2.35,0.81,0.07,Matches
422,Jose Sa,pt POR,GK,Wolves,32-035,1993,18,0.11,0.11,0.11,0,0,0.11,0.11,100,0,0,0,0,0,0.11,0.5,0.06,Matches
423,Bukayo Saka,eng ENG,"FW,MF",Arsenal,23-169,2001,14.1,1.56,0.92,0.35,0.71,0.5,0.64,1.35,47.4,0.71,1.13,0,1.13,0.14,1.7,0.5,0,Matches
424,Mohamed Salah,eg EGY,FW,Liverpool,32-251,1992,25.5,0.55,0.35,0.16,0.2,0.2,0.16,0.31,50,0.16,0.16,0,0.16,0.16,0.71,0.2,0,Matches
425,William Saliba,fr FRA,DF,Arsenal,23-334,2001,22.3,2.02,1.21,1.21,0.76,0.04,0.72,0.94,76.2,0.22,0.67,0.36,0.31,0.63,2.65,3.14,0.13,Matches
426,Robert Sanchez,es ESP,GK,Chelsea,27-095,1997,21,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0.1,0.1,0.71,0.33,Matches
427,Jadon Sancho,eng ENG,FW,Chelsea,24-333,2000,13.1,0.61,0.38,0.15,0.15,0.31,0.31,0.69,44.4,0.38,0.31,0,0.31,0.08,0.69,0.31,0.15,Matches
428,Ibrahim Sangare,ci CIV,MF,Nott'ham Forest,27-081,1997,2.8,5.36,3.21,1.79,3.57,0,1.43,3.57,40,2.14,1.79,0,1.79,0.71,6.07,1.07,0,Matches
