Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
61,James Bree,eng ENG,DF,Southampton,27-133,1997,8.4,1.79,1.19,0.6,1.07,0.12,0.83,2.02,41.2,1.19,0.95,0.36,0.6,0.83,2.62,2.62,0,Matches
62,Ben Brereton,cl CHI,FW,Southampton,25-309,1999,5,0.6,0.4,0,0.4,0.2,0.2,1.8,11.1,1.6,0.4,0.2,0.2,0,0.6,0.8,0,Matches
63,Nathan Broadhead,wls WAL,"FW,MF",Ipswich Town,26-322,1998,4.2,0.95,0.48,0.24,0.71,0,0.48,1.43,33.3,0.95,0.48,0,0.48,0.71,1.67,1.19,0,Matches
64,Armando Broja,al ALB,FW,Everton,23-164,2001,1.8,1.11,0.56,0.56,0.56,0,0,0,,0,1.67,0,1.67,0,1.11,1.67,0,Matches
65,David Brooks,wls WAL,FW,Bournemouth,27-228,1997,7.1,1.27,0.42,0.28,0.56,0.42,0.14,1.27,11.1,1.13,1.69,0.28,1.41,0.56,1.83,0.85,0.14,Matches
66,Emi Buendia,ar ARG,"MF,FW",Aston Villa,28-058,1996,1.1,5.45,5.45,2.73,1.82,0.91,0,4.55,0,4.55,4.55,0.91,3.64,0,5.45,1.82,0,Matches
67,Santiago Bueno,uy URU,DF,Wolves,26-104,1998,15.2,1.84,0.92,1.18,0.59,0.07,0.86,1.12,76.5,0.26,1.97,1.12,0.86,0.86,2.7,2.96,0,Matches
68,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-060,2004,12.8,3.36,1.8,1.09,1.25,1.02,1.41,4.45,31.6,3.05,2.11,0.47,1.64,0.63,3.98,0.63,0,Matches
69,Cameron Burgess,au AUS,DF,Ipswich Town,29-123,1995,10,0.9,0.7,0.7,0.2,0,0.5,0.5,100,0,1.4,1.1,0.3,0.9,1.8,6.7,0.1,Matches
70,Dan Burn,eng ENG,DF,Newcastle Utd,32-288,1992,24,1.17,0.63,0.71,0.42,0.04,0.58,1.17,50,0.58,0.92,0.71,0.21,0.67,1.83,4.88,0.08,Matches
71,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-090,1994,10.3,1.26,1.07,0.1,0.87,0.29,0.39,0.97,40,0.58,0.68,0.19,0.49,0.97,2.23,1.26,0.19,Matches
72,Moises Caicedo,ec ECU,MF,Chelsea,23-111,2001,24.3,3,1.89,1.28,1.44,0.29,1.44,2.35,61.4,0.91,1.32,0.33,0.99,1.4,4.4,1.48,0,Matches
73,Tom Cairney,sct SCO,MF,Fulham,34-032,1991,4.4,1.59,0.45,0.45,0.45,0.68,0.45,0.68,66.7,0.23,0.68,0.23,0.45,0.91,2.5,0.23,0.23,Matches
74,Jens Cajuste,se SWE,MF,Ipswich Town,25-195,1999,12.5,2.16,0.88,0.96,1.12,0.08,0.88,2.32,37.9,1.44,1.28,0.4,0.88,1.36,3.52,1.44,0.16,Matches
75,Riccardo Calafiori,it ITA,DF,Arsenal,22-278,2002,8.5,2.94,2.12,1.65,1.06,0.24,2,2.82,70.8,0.82,1.41,0.71,0.71,1.06,4,2.47,0,Matches
76,Dominic Calvert-Lewin,eng ENG,FW,Everton,27-342,1997,17.5,0.51,0.4,0.06,0.23,0.23,0.11,0.34,33.3,0.23,0.34,0.11,0.23,0.34,0.86,1.03,0,Matches
77,Diego Carlos,br BRA,DF,Aston Villa,31-343,1993,9.2,0.87,0.33,0.65,0.11,0.11,0.43,0.65,66.7,0.22,1.41,0.76,0.65,0.54,1.41,3.91,0.22,Matches
78,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-175,2002,4.8,2.71,1.88,0.83,0.83,1.04,1.25,2.71,46.2,1.46,1.25,0.21,1.04,0.63,3.33,0.42,0,Matches
79,Casemiro,br BRA,MF,Manchester Utd,32-364,1992,10.3,4.47,2.82,2.33,1.46,0.68,2.33,4.56,51.1,2.23,2.52,0.58,1.94,0.97,5.44,3.3,0.29,Matches
80,Kaelan Casey,eng ENG,DF,West Ham,20-116,2004,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
81,Matty Cash,pl POL,DF,Aston Villa,27-198,1997,14.2,2.75,1.55,1.55,1.06,0.14,1.27,1.97,64.3,0.7,0.99,0.35,0.63,1.27,4.01,2.39,0.07,Matches
82,Timothy Castagne,be BEL,DF,Fulham,29-078,1995,11,2.45,1.36,1.36,1,0.09,1.27,2,63.6,0.73,0.82,0.18,0.64,1.09,3.55,4,0,Matches
83,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-231,1999,11.8,1.69,1.36,0.59,1.02,0.08,1.02,1.95,52.2,0.93,1.61,0.76,0.85,1.61,3.31,4.83,0.25,Matches
84,Trevoh Chalobah,eng ENG,DF,Chelsea,25-231,1999,3,1,0.33,0,1,0,0.67,0.67,100,0,0.33,0.33,0,2,3,4,0.33,Matches
85,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,28-005,1997,6.8,1.62,0.74,0.44,0.88,0.29,0.88,1.91,46.2,1.03,1.18,0.15,1.03,0.44,2.06,0.29,0,Matches
86,Federico Chiesa,it ITA,FW,Liverpool,27-119,1997,0.3,0,0,0,0,0,0,3.33,0,3.33,3.33,0,3.33,0,0,0,0,Matches
87,Ben Chilwell,eng ENG,DF,Crystal Palace,28-062,1996,0.3,3.33,3.33,3.33,0,0,0,0,,0,0,0,0,0,3.33,16.7,0,Matches
88,Chiquinho,pt POR,MF,Wolves,25-016,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
89,Hamza Choudhury,eng ENG,"MF,DF",Leicester City,27-143,1997,1.5,0.67,0.67,0.67,0,0,0.67,2,33.3,1.33,2.67,1.33,1.33,3.33,4,1.33,0,Matches
90,Ryan Christie,sct SCO,MF,Bournemouth,29-365,1995,20.4,2.25,1.42,0.83,1.08,0.34,1.23,2.75,44.6,1.52,1.86,0.54,1.32,1.23,3.48,2.3,0.15,Matches
91,Harry Clarke,eng ENG,DF,Ipswich Town,23-356,2001,4.2,1.19,0.71,0.71,0.48,0,0.71,1.43,50,0.71,1.19,0.95,0.24,0.95,2.14,3.33,0.71,Matches
92,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-090,2000,7.1,2.96,1.69,1.41,1.13,0.42,1.69,3.38,50,1.69,0.56,0,0.56,0.7,3.66,1.41,0.14,Matches
93,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33-322,1991,4.4,2.5,1.59,1.59,0.68,0.23,1.14,1.59,71.4,0.45,0.91,0.45,0.45,0.68,3.18,2.73,0.23,Matches
94,Conor Coady,eng ENG,DF,Leicester City,31-362,1993,8,0.88,0.5,0.38,0.5,0,0.25,0.38,66.7,0.13,1.88,1.38,0.5,0.88,1.75,3.88,0.13,Matches
95,Seamus Coleman,ie IRL,DF,Everton,36-133,1988,2.2,0.91,0.45,0.45,0.45,0,0.91,1.36,66.7,0.45,2.27,1.36,0.91,0.45,1.36,3.18,0,Matches
96,Nathan Collins,ie IRL,DF,Brentford,23-297,2001,25,1.16,0.68,0.72,0.32,0.12,0.76,1,76,0.24,1.96,1.44,0.52,0.84,2,5.64,0.08,Matches
97,Toby Collyer,eng ENG,MF,Manchester Utd,21-049,2004,1.4,5,4.29,2.86,2.14,0,2.14,2.86,75,0.71,0.71,0.71,0,0,5,1.43,0,Matches
98,Levi Colwill,eng ENG,DF,Chelsea,21-361,2003,23,1.26,0.83,0.7,0.48,0.09,0.48,0.74,64.7,0.26,1.13,0.83,0.3,1.04,2.3,3.13,0.13,Matches
99,Lewis Cook,eng ENG,"MF,DF",Bournemouth,28-018,1997,22.6,2.48,1.37,1.19,1.19,0.09,0.97,2.08,46.8,1.11,0.93,0.31,0.62,1.28,3.76,1.95,0,Matches
100,Maxwel Cornet,ci CIV,FW,Southampton,28-147,1996,0.8,6.25,6.25,1.25,5,0,0,5,0,5,0,0,0,0,6.25,2.5,0,Matches
101,Vladimir Coufal,cz CZE,DF,West Ham,32-183,1992,8.2,1.71,1.1,1.1,0.49,0.12,0.73,1.83,40,1.1,1.34,1.22,0.12,0.73,2.44,3.54,0.12,Matches
102,Woyo Coulibaly,fr FRA,DF,Leicester City,25-277,1999,0.7,7.14,4.29,5.71,1.43,0,2.86,2.86,100,0,1.43,0,1.43,5.71,12.9,1.43,0,Matches
103,Aaron Cresswell,eng ENG,DF,West Ham,35-068,1989,3.3,0.91,0,0.3,0.61,0,0.91,0.91,100,0,1.21,0.3,0.91,0.61,1.52,3.33,0,Matches
104,Marc Cucurella,es ESP,DF,Chelsea,26-214,1998,21,1.81,1.14,1.1,0.62,0.1,0.81,1.67,48.6,0.86,1.48,0.38,1.1,0.81,2.62,2.29,0.14,Matches
105,Jorge Cuenca,es ESP,DF,Fulham,25-096,1999,1,1,1,1,0,0,1,4,25,3,0,0,0,1,2,13,0,Matches
106,Matheus Cunha,br BRA,"MF,FW",Wolves,25-270,1999,21.8,1.38,0.78,0.73,0.55,0.09,0.46,1.42,32.3,0.96,0.78,0.05,0.73,0.73,2.11,1.01,0,Matches
107,Patson Daka,zm ZAM,"FW,MF",Leicester City,26-135,1998,3.5,2.29,1.14,0.29,1.14,0.86,1.43,2.57,55.6,1.14,1.14,0.29,0.86,0,2.29,1.71,0,Matches
108,Diogo Dalot,pt POR,DF,Manchester Utd,25-340,1999,23.6,2.25,1.36,1.31,0.72,0.21,1.02,1.61,63.2,0.59,0.81,0.38,0.42,1.27,3.52,2.25,0,Matches
109,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-233,2000,20.9,2.73,1.58,1,0.86,0.86,0.96,2.58,37,1.63,1.24,0.1,1.15,0.96,3.68,1.24,0.05,Matches
110,Danilo,br BRA,MF,Nott'ham Forest,23-298,2001,1.6,1.25,0.63,0.63,0.63,0,0.63,1.88,33.3,1.25,0.63,0.63,0,0.63,1.88,1.25,0,Matches
111,Jayden Danns,eng ENG,MF,Liverpool,19-036,2006,0.1,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,Matches
112,Kevin Danso,at AUT,DF,Tottenham,26-155,1998,0.9,1.11,0,1.11,0,0,0,0,,0,0,0,0,1.11,2.22,6.67,0,Matches
113,Ben Davies,wls WAL,DF,Tottenham,31-303,1993,7,0.71,0.57,0.14,0.57,0,0.43,1.14,37.5,0.71,2,1.29,0.71,1,1.71,5.86,0,Matches
114,Leif Davis,eng ENG,DF,Ipswich Town,25-040,2000,23.5,1.62,0.94,1.32,0.17,0.13,1.11,1.83,60.5,0.72,0.89,0.26,0.64,0.77,2.38,2.6,0.04,Matches
115,Craig Dawson,eng ENG,DF,Wolves,34-291,1990,10.8,1.39,0.28,0.74,0.56,0.09,1.11,1.39,80,0.28,1.48,1.02,0.46,0.83,2.22,4.81,0.09,Matches
116,Kevin De Bruyne,be BEL,MF,Manchester City,33-238,1991,11.2,0.8,0.36,0.36,0.18,0.27,0.27,1.25,21.4,0.98,0.54,0,0.54,0.45,1.25,0.8,0.09,Matches
117,Liam Delap,eng ENG,FW,Ipswich Town,22-013,2003,20.5,0.44,0.29,0.15,0.1,0.2,0.05,0.59,8.3,0.54,0.29,0,0.29,0.1,0.54,0.88,0,Matches
