Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
95,Seamus Coleman,ie IRL,DF,Everton,36-133,1988,2.2,0.91,0.91,0.45,0,0.45,0,0,0,0.45,0.46,0.45,0,0,0,0,0,Matches
96,Nathan Collins,ie IRL,DF,Brentford,23-297,2001,25,0.92,0.92,0.64,0.08,0.04,0.08,0.08,0,0.24,0.24,0.08,0.04,0,0.04,0.08,0,Matches
97,Toby Collyer,eng ENG,MF,Manchester Utd,21-049,2004,1.4,1.43,1.44,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
98,Levi Colwill,eng ENG,DF,Chelsea,21-361,2003,23,1.13,1.13,1,0.09,0,0,0,0.04,0.13,0.13,0.09,0,0,0,0,0.04,Matches
99,Lewis Cook,eng ENG,"MF,DF",Bournemouth,28-018,1997,22.6,3.05,3.06,2.35,0.66,0,0.04,0,0,0.18,0.18,0.09,0.04,0,0.04,0,0,Matches
100,Maxwel Cornet,ci CIV,FW,Southampton,28-147,1996,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
101,Vladimir Coufal,cz CZE,DF,West Ham,32-183,1992,8.2,1.59,1.59,1.1,0.49,0,0,0,0,0.12,0.12,0,0.12,0,0,0,0,Matches
102,Woyo Coulibaly,fr FRA,DF,Leicester City,25-277,1999,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
103,Aaron Cresswell,eng ENG,DF,West Ham,35-068,1989,3.3,2.73,2.74,0.91,1.82,0,0,0,0,0,0,0,0,0,0,0,0,Matches
104,Marc Cucurella,es ESP,DF,Chelsea,26-214,1998,21,1.62,1.62,1.48,0.05,0,0.1,0,0,0.1,0.1,0.1,0,0,0,0,0,Matches
105,Jorge Cuenca,es ESP,DF,Fulham,25-096,1999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
106,Matheus Cunha,br BRA,"MF,FW",Wolves,25-270,1999,21.8,3.9,3.89,2.29,0.41,0.55,0.28,0.28,0.09,0.41,0.41,0.32,0,0.09,0,0,0,Matches
107,Patson Daka,zm ZAM,"FW,MF",Leicester City,26-135,1998,3.5,1.43,1.44,1.14,0,0.29,0,0,0,0.29,0.29,0,0,0.29,0,0,0,Matches
108,Diogo Dalot,pt POR,DF,Manchester Utd,25-340,1999,23.6,1.99,1.99,1.53,0.17,0.17,0.08,0,0.04,0.04,0.04,0.04,0,0,0,0,0,Matches
109,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-233,2000,20.9,4.02,4.02,3.06,0.48,0.14,0.1,0.05,0.19,0.77,0.77,0.48,0.14,0.05,0,0.05,0.05,Matches
110,Danilo,br BRA,MF,Nott'ham Forest,23-298,2001,1.6,3.13,3.21,3.13,0,0,0,0,0,1.25,1.29,1.25,0,0,0,0,0,Matches
111,Jayden Danns,eng ENG,MF,Liverpool,19-036,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
112,Kevin Danso,at AUT,DF,Tottenham,26-155,1998,0.9,1.11,1.17,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,Matches
113,Ben Davies,wls WAL,DF,Tottenham,31-303,1993,7,0.43,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
114,Leif Davis,eng ENG,DF,Ipswich Town,25-040,2000,23.5,3.02,3.03,1.4,1.32,0.13,0.09,0.04,0.04,0.17,0.17,0.13,0,0.04,0,0,0,Matches
115,Craig Dawson,eng ENG,DF,Wolves,34-291,1990,10.8,0.65,0.65,0.56,0,0,0.09,0,0,0.19,0.19,0.09,0,0,0.09,0,0,Matches
116,Kevin De Bruyne,be BEL,MF,Manchester City,33-238,1991,11.2,6.88,6.85,4.91,1.52,0.09,0.18,0.09,0.09,0.89,0.89,0.71,0.09,0,0.09,0,0,Matches
117,Liam Delap,eng ENG,FW,Ipswich Town,22-013,2003,20.5,2.34,2.34,1.17,0,0.44,0.1,0.54,0.1,0.29,0.29,0.1,0,0.1,0,0.1,0,Matches
118,Sepp van den Berg,nl NED,DF,Brentford,23-063,2001,19.5,0.92,0.92,0.87,0,0,0,0.05,0,0.1,0.1,0.05,0,0,0,0.05,0,Matches
119,Justin Devenny,nir NIR,MF,Crystal Palace,21-133,2003,3.5,2.57,2.58,2,0.57,0,0,0,0,0,0,0,0,0,0,0,0,Matches
120,Kiernan Dewsbury-Hall,eng ENG,MF,Chelsea,26-168,1998,1.8,1.67,1.67,1.67,0,0,0,0,0,0.56,0.56,0.56,0,0,0,0,0,Matches
121,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-225,2002,17.7,4.52,4.52,3.05,0.51,0.4,0.11,0.23,0.23,0.9,0.9,0.4,0,0.17,0.06,0.06,0.23,Matches
122,Ruben Dias,pt POR,DF,Manchester City,27-283,1997,13.1,1.3,1.3,0.84,0,0,0.31,0,0.15,0,0,0,0,0,0,0,0,Matches
123,Luis Diaz,co COL,FW,Liverpool,28-039,1997,17.7,4.29,4.29,3.05,0,0.68,0.4,0.17,0,0.73,0.73,0.56,0,0.06,0,0.11,0,Matches
124,Tyler Dibling,eng ENG,"FW,MF",Southampton,18-346,2006,14.1,3.19,3.2,1.91,0.07,0.71,0.21,0.28,0,0.21,0.21,0.14,0,0.07,0,0,0,Matches
125,Lucas Digne,fr FRA,DF,Aston Villa,31-216,1993,21,2.57,2.57,1.52,0.76,0.05,0.19,0,0.05,0.24,0.24,0.24,0,0,0,0,0,Matches
126,Issa Diop,fr FRA,DF,Fulham,28-043,1997,11.9,0.42,0.42,0.34,0,0,0.08,0,0,0,0,0,0,0,0,0,0,Matches
127,Axel Disasi,fr FRA,DF,Aston Villa,26-347,1998,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
128,Axel Disasi,fr FRA,DF,Chelsea,26-347,1998,4,0.5,0.49,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
129,Roman Dixon,eng ENG,DF,Everton,20-057,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
130,Matt Doherty,ie IRL,DF,Wolves,33-036,1992,13.9,1.22,1.22,0.94,0.14,0,0.07,0.07,0,0.14,0.14,0.14,0,0,0,0,0,Matches
131,Jeremy Doku,be BEL,"FW,MF",Manchester City,22-270,2002,8.9,4.72,4.71,3.71,0.11,0.67,0.11,0.11,0,0.9,0.9,0.79,0,0.11,0,0,0,Matches
132,Nicolas Dominguez,ar ARG,"MF,FW",Nott'ham Forest,26-238,1998,12.5,1.28,1.28,0.8,0.08,0,0.16,0.16,0.08,0,0,0,0,0,0,0,0,Matches
133,Patrick Dorgu,dk DEN,DF,Manchester Utd,20-118,2004,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
134,Alfie Dorrington,eng ENG,DF,Tottenham,19-307,2005,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
135,Abdoulaye Doucoure,ml MLI,MF,Everton,32-051,1993,19.7,1.93,1.93,1.78,0,0.05,0.05,0,0.05,0.05,0.05,0,0,0,0,0,0.05,Matches
136,Cheick Doucoure,ml MLI,MF,Crystal Palace,25-044,2000,5,1.8,1.79,1,0,0,0.4,0.2,0.2,0.6,0.6,0.2,0,0,0.2,0.2,0,Matches
137,Flynn Downes,eng ENG,MF,Southampton,26-032,1999,15.9,1.51,1.51,1.26,0.13,0,0.06,0,0.06,0.06,0.06,0,0.06,0,0,0,0,Matches
138,Tommy Doyle,eng ENG,MF,Wolves,23-127,2001,5.2,3.08,3.06,1.92,0.77,0.19,0.19,0,0,0.58,0.57,0.38,0,0.19,0,0,0,Matches
139,Radu Dragusin,ro ROU,DF,Tottenham,23-018,2002,13.9,0.58,0.58,0.58,0,0,0,0,0,0.07,0.07,0.07,0,0,0,0,0,Matches
140,Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-037,1989,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
141,Lewis Dunk,eng ENG,DF,Brighton,33-092,1991,17.4,0.92,0.92,0.8,0,0,0.11,0,0,0.17,0.17,0.11,0,0,0.06,0,0,Matches
142,Jader Duran,co COL,FW,Aston Villa,21-070,2003,7.1,2.54,2.54,1.27,0,0,0.56,0.42,0.28,0.14,0.14,0,0,0,0,0,0.14,Matches
143,Ederson,br BRA,GK,Manchester City,31-188,1993,16,0.31,0.31,0.31,0,0,0,0,0,0.19,0.19,0.19,0,0,0,0,0,Matches
144,George Edmundson,eng ENG,DF,Ipswich Town,27-174,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
145,Odsonne Edouard,fr FRA,"MF,FW",Crystal Palace,27-036,1998,1.3,0.77,0.78,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
146,Odsonne Edouard,fr FRA,FW,Leicester City,27-036,1998,0.3,6.67,6.21,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
147,Samuel Edozie,eng ENG,"DF,FW",Southampton,22-024,2003,0.7,5.71,5.54,4.29,0,0,0,1.43,0,0,0,0,0,0,0,0,0,Matches
148,Ronnie Edwards,eng ENG,DF,Southampton,21-330,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
149,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,22-300,2002,17.2,3.9,3.9,2.33,0.7,0.23,0.23,0.41,0,0.64,0.64,0.41,0.12,0.06,0,0.06,0,Matches
150,Harvey Elliott,eng ENG,"MF,FW",Liverpool,21-323,2003,0.9,5.56,5.49,3.33,2.22,0,0,0,0,2.22,2.2,2.22,0,0,0,0,0,Matches
151,Yunus Emre Konak,tr TUR,"MF,FW",Brentford,19-042,2006,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
152,Julio Enciso,py PAR,"MF,FW",Ipswich Town,21-029,2004,1.3,4.62,4.66,2.31,0.77,0.77,0,0,0.77,0.77,0.78,0,0.77,0,0,0,0,Matches
153,Julio Enciso,py PAR,"MF,FW",Brighton,21-029,2004,3.3,3.64,3.69,1.52,0.3,0.91,0.3,0.61,0,0,0,0,0,0,0,0,0,Matches
154,Wataru Endo,jp JPN,MF,Liverpool,32-012,1993,1.2,1.67,1.68,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
155,Christian Eriksen,dk DEN,MF,Manchester Utd,33-007,1992,7.1,3.8,3.8,2.39,1.41,0,0,0,0,0.85,0.85,0.56,0.28,0,0,0,0,Matches
156,Romain Esse,eng ENG,MF,Crystal Palace,19-284,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
157,Pervis Estupinan,ec ECU,DF,Brighton,27-031,1998,15.7,2.29,2.29,1.53,0.57,0,0.13,0.06,0,0.25,0.25,0.19,0,0,0,0.06,0,Matches
