Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
56,Willy Boly,ci CIV,DF,Nott'ham Forest,34-018,1991,1.5,40.7,40,0.67,0.67,0,0,0,0,0,0,0,0,32,0,0,Matches
57,Sven Botman,nl NED,DF,Newcastle Utd,25-040,2000,2.5,51.2,49.6,1.6,1.6,0,0,0,0,0,0,0,0,45.2,0,0,Matches
58,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-063,1996,20.4,25.9,22.6,3.14,0.1,0.34,0.15,4.12,0.05,2.16,1.37,0.74,0,18.1,0.15,1.23,Matches
59,Conor Bradley,nir NIR,DF,Liverpool,21-227,2003,4.1,69.3,58,11,2.2,0,0.24,0.98,8.78,0,0,0,0,58.3,0.24,1.46,Matches
60,Jarrad Branthwaite,eng ENG,DF,Everton,22-239,2002,16.1,41.7,40.3,1.18,1.18,0.06,0.5,0.06,0,0,0,0,0,33.9,0.19,0.31,Matches
61,James Bree,eng ENG,DF,Southampton,27-133,1997,8.4,53.2,49.3,3.81,0.95,0,0,2.38,2.38,0.36,0.24,0,0,44,0.12,0.83,Matches
62,Ben Brereton,cl CHI,FW,Southampton,25-309,1999,5,33.2,32.6,0.4,0.2,0.2,0,1,0.2,0,0,0,0,25.6,0.2,0.6,Matches
63,Nathan Broadhead,wls WAL,"FW,MF",Ipswich Town,26-322,1998,4.2,29.3,27.9,1.43,0,0.24,0.24,1.43,0.48,0.71,0.71,0,0,22.9,0,1.43,Matches
64,Armando Broja,al ALB,FW,Everton,23-164,2001,1.8,18.9,18.9,0,0,0,0,0.56,0,0,0,0,0,15,0,0.56,Matches
65,David Brooks,wls WAL,FW,Bournemouth,27-228,1997,7.1,33.9,30.7,3.24,0.85,0.28,0,4.79,1.13,1.27,0.7,0.14,0,24.2,0,1.83,Matches
66,Emi Buendia,ar ARG,"MF,FW",Aston Villa,28-058,1996,1.1,54.5,53.6,0.91,0.91,0.91,0,0,0,0,0,0,0,44.5,0,0,Matches
67,Santiago Bueno,uy URU,DF,Wolves,26-104,1998,15.2,45.7,43.8,1.84,1.18,0.07,0.2,0,0.13,0,0,0,0,39.8,0.07,0.53,Matches
68,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-060,2004,12.8,34.3,30.2,3.91,1.41,0.47,0.23,2.5,0.63,1.48,1.02,0.08,0,26.1,0.23,0.55,Matches
