Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
82,Timothy Castagne,be BEL,DF,Fulham,29-078,1995,11,0.09,0,0,0.82,0.27,0.09,2.36,1.09,1.36,0,0.09,0,3.27,1.82,2.27,44.4,Matches
83,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-231,1999,11.8,0.08,0,0,0.85,1.27,0.08,0.59,1.61,1.36,0,0,0,4.75,1.86,1.61,53.7,Matches
84,Trevoh Chalobah,eng ENG,DF,Chelsea,25-231,1999,3,0,0,0,1.33,0.67,0,0.33,2,0.33,0,0,0,3.33,3.33,1,76.9,Matches
85,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,28-005,1997,6.8,0.15,0,0,1.47,0.74,0,1.32,0.44,0.74,0,0,0,3.38,0.15,1.18,11.1,Matches
86,Federico Chiesa,it ITA,FW,Liverpool,27-119,1997,0.3,0,0,0,3.33,3.33,0,3.33,0,0,0,0,0,10,0,0,,Matches
87,Ben Chilwell,eng ENG,DF,Crystal Palace,28-062,1996,0.3,0,0,0,0,3.33,0,3.33,0,3.33,0,0,0,3.33,6.67,0,100,Matches
88,Chiquinho,pt POR,MF,Wolves,25-016,2000,0.1,0,0,0,10,0,0,10,0,0,0,0,0,10,0,0,,Matches
89,Hamza Choudhury,eng ENG,"MF,DF",Leicester City,27-143,1997,1.5,0,0,0,0.67,0,0,3.33,3.33,0.67,0,0,0,1.33,0,0,,Matches
90,Ryan Christie,sct SCO,MF,Bournemouth,29-365,1995,20.4,0.44,0,0,1.96,1.32,0.05,1.86,1.23,1.42,0,0,0,7.55,0.83,1.18,41.5,Matches
91,Harry Clarke,eng ENG,DF,Ipswich Town,23-356,2001,4.2,0.71,0.24,0.24,1.19,0.24,0,1.19,0.95,0.71,0,0.24,0,4.05,2.38,0.95,71.4,Matches
92,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-090,2000,7.1,0.14,0,0,1.69,2.11,0.28,1.27,0.7,1.69,0,0,0,5.92,0.56,1.55,26.7,Matches
93,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33-322,1991,4.4,0.23,0,0,0.45,0.45,0,1.14,0.68,1.59,0,0,0,1.14,0.23,1.59,12.5,Matches
94,Conor Coady,eng ENG,DF,Leicester City,31-362,1993,8,0.13,0,0,0.38,0.25,0,0,0.88,0.5,0,0.13,0,2.5,1.13,1.13,50,Matches
95,Seamus Coleman,ie IRL,DF,Everton,36-133,1988,2.2,0.45,0,0,0,0.45,0,1.36,0.45,0.45,0,0,0,3.18,0.45,0.45,50,Matches
96,Nathan Collins,ie IRL,DF,Brentford,23-297,2001,25,0.08,0,0,0.68,0.76,0.2,0.24,0.84,0.68,0.08,0,0,4.48,3.16,1.72,64.8,Matches
97,Toby Collyer,eng ENG,MF,Manchester Utd,21-049,2004,1.4,0,0,0,1.43,2.14,0,0,0,4.29,0,0,0,6.43,0.71,0.71,50,Matches
98,Levi Colwill,eng ENG,DF,Chelsea,21-361,2003,23,0.26,0,0,1,0.7,0.13,0.39,1.04,0.83,0,0.04,0,2.91,2.3,1.48,60.9,Matches
99,Lewis Cook,eng ENG,"MF,DF",Bournemouth,28-018,1997,22.6,0.27,0,0,1.9,0.18,0.09,4.34,1.28,1.37,0,0.04,0,5.62,1.06,0.97,52.2,Matches
100,Maxwel Cornet,ci CIV,FW,Southampton,28-147,1996,0.8,1.25,0,0,0,1.25,1.25,3.75,0,6.25,0,0,0,2.5,3.75,0,100,Matches
101,Vladimir Coufal,cz CZE,DF,West Ham,32-183,1992,8.2,0.24,0,0,2.07,1.22,0,2.32,0.73,1.1,0,0,0.12,2.93,2.07,1.22,63,Matches
